cod_ibge6,cod_ibge7,municipio_uf,uf,nome_uf,ivs_2010,ivs_infra_2010,ivs_ch_2010,ivs_rt_2010,idhm_2010,populacao_2010,rdpc_2010
530010,5300108,Brasília (DF),53,Distrito Federal,0.315,0.413,0.275,0.258,0.799,711540.0,1157.82
520013,5200134,Acreúna (GO),52,Goiás,0.327,0.081,0.427,0.474,0.669,4912.0,462.5
520015,5200159,Adelândia (GO),52,Goiás,0.283,0.014,0.363,0.471,0.684,672.0,417.7
520050,5200506,Aloândia (GO),52,Goiás,0.279,0.0,0.386,0.451,0.68,395.0,503.41
520055,5200555,Alto Horizonte (GO),52,Goiás,0.233,0.004,0.339,0.358,0.713,1226.0,521.27
520060,5200605,Alto Paraíso de Goiás (GO),52,Goiás,0.3,0.002,0.429,0.468,0.721,1652.0,461.63
520080,5200803,Alvorada do Norte (GO),52,Goiás,0.406,0.18,0.541,0.496,0.675,2422.0,371.34
520085,5200852,Americano do Brasil (GO),52,Goiás,0.345,0.22,0.36,0.454,0.715,1224.0,484.17
520090,5200902,Amorinópolis (GO),52,Goiás,0.427,0.451,0.403,0.428,0.675,544.0,449.96
520130,5201306,Anicuns (GO),52,Goiás,0.257,0.017,0.351,0.403,0.714,4214.0,506.27
520110,5201108,Anápolis (GO),52,Goiás,0.303,0.248,0.343,0.317,0.735,86654.0,645.38
520150,5201504,Aporé (GO),52,Goiás,0.335,0.004,0.473,0.528,0.689,711.0,450.62
520170,5201702,Aragarças (GO),52,Goiás,0.287,0.219,0.325,0.319,0.734,5865.0,503.93
520215,5202155,Araguapaz (GO),52,Goiás,0.309,0.018,0.359,0.549,0.712,1700.0,593.06
520160,5201603,Araçu (GO),52,Goiás,0.21,0.015,0.358,0.256,0.691,898.0,456.06
520250,5202502,Aruanã (GO),52,Goiás,0.283,0.053,0.443,0.353,0.677,2008.0,594.21
520280,5202809,Avelinópolis (GO),52,Goiás,0.297,0.0,0.452,0.439,0.607,466.0,386.51
520310,5203104,Baliza (GO),52,Goiás,0.258,0.06,0.403,0.312,0.753,398.0,478.09
520320,5203203,Barro Alto (GO),52,Goiás,0.222,0.016,0.381,0.27,0.75,1765.0,556.26
520340,5203401,Bom Jardim de Goiás (GO),52,Goiás,0.338,0.141,0.516,0.358,0.658,1927.0,511.49
520350,5203500,Bom Jesus de Goiás (GO),52,Goiás,0.293,0.018,0.43,0.432,0.684,4761.0,538.34
520380,5203807,Britânia (GO),52,Goiás,0.293,0.024,0.459,0.394,0.675,1424.0,477.76
520390,5203906,Buriti Alegre (GO),52,Goiás,0.284,0.017,0.459,0.375,0.686,1679.0,473.67
520393,5203939,Buriti de Goiás (GO),52,Goiás,0.228,0.004,0.393,0.286,0.711,495.0,747.23
520410,5204102,Cachoeira Alta (GO),52,Goiás,0.296,0.016,0.447,0.426,0.695,1851.0,616.4
520425,5204250,Cachoeira Dourada (GO),52,Goiás,0.266,0.135,0.313,0.351,0.7,1331.0,602.07
520420,5204201,Cachoeira de Goiás (GO),52,Goiás,0.286,0.0,0.289,0.571,0.719,327.0,486.56
520440,5204409,Caiapônia (GO),52,Goiás,0.28,0.007,0.396,0.438,0.708,3778.0,510.91
520450,5204508,Caldas Novas (GO),52,Goiás,0.218,0.093,0.323,0.237,0.735,16835.0,619.17
520460,5204607,Campestre de Goiás (GO),52,Goiás,0.258,0.006,0.412,0.358,0.65,742.0,379.84
520465,5204656,Campinaçu (GO),52,Goiás,0.305,0.017,0.462,0.437,0.654,545.0,457.92
520470,5204706,Campinorte (GO),52,Goiás,0.271,0.009,0.404,0.399,0.717,2689.0,578.57
520480,5204805,Campo Alegre de Goiás (GO),52,Goiás,0.285,0.072,0.371,0.413,0.715,1057.0,649.62
520485,5204854,Campo Limpo de Goiás (GO),52,Goiás,0.367,0.233,0.498,0.369,0.669,1435.0,403.2
520490,5204904,Campos Belos (GO),52,Goiás,0.315,0.064,0.416,0.466,0.707,6207.0,462.3
520495,5204953,Campos Verdes (GO),52,Goiás,0.39,0.078,0.535,0.556,0.664,1550.0,321.31
520500,5205000,Carmo do Rio Verde (GO),52,Goiás,0.226,0.036,0.314,0.328,0.72,1775.0,522.89
520505,5205059,Castelândia (GO),52,Goiás,0.381,0.007,0.634,0.502,0.664,1025.0,392.64
520510,5205109,Catalão (GO),52,Goiás,0.211,0.073,0.287,0.274,0.751,16419.0,679.95
520430,5204300,Caçu (GO),52,Goiás,0.19,0.004,0.355,0.211,0.702,1715.0,705.14
520540,5205406,Ceres (GO),52,Goiás,0.168,0.015,0.249,0.24,0.784,5106.0,802.3
520545,5205455,Cezarina (GO),52,Goiás,0.269,0.002,0.411,0.395,0.731,1584.0,555.18
520547,5205471,Chapadão do Céu (GO),52,Goiás,0.205,0.0,0.397,0.218,0.725,1619.0,687.38
520590,5205901,Corumbaíba (GO),52,Goiás,0.224,0.022,0.303,0.346,0.718,1439.0,488.86
520630,5206305,Cristianópolis (GO),52,Goiás,0.254,0.011,0.39,0.361,0.66,644.0,390.95
520640,5206404,Crixás (GO),52,Goiás,0.262,0.088,0.354,0.345,0.741,3877.0,618.86
520650,5206503,Cromínia (GO),52,Goiás,0.251,0.005,0.44,0.307,0.693,689.0,443.5
520660,5206602,Cumari (GO),52,Goiás,0.189,0.014,0.273,0.281,0.732,477.0,491.5
520680,5206800,Damolândia (GO),52,Goiás,0.302,0.211,0.339,0.357,0.696,556.0,444.24
520690,5206909,Davinópolis (GO),52,Goiás,0.199,0.0,0.257,0.341,0.718,277.0,531.72
520710,5207105,Diorama (GO),52,Goiás,0.261,0.0,0.316,0.467,0.719,404.0,405.49
520830,5208301,Divinópolis de Goiás (GO),52,Goiás,0.27,0.007,0.399,0.403,0.713,1302.0,451.21
520725,5207253,Doverlândia (GO),52,Goiás,0.275,0.002,0.453,0.371,0.682,1369.0,464.42
520735,5207352,Edealina (GO),52,Goiás,0.286,0.004,0.371,0.483,0.709,715.0,544.8
520740,5207402,Edéia (GO),52,Goiás,0.265,0.125,0.304,0.365,0.746,2427.0,615.73
520750,5207501,Estrela do Norte (GO),52,Goiás,0.239,0.011,0.333,0.372,0.674,891.0,515.73
520753,5207535,Faina (GO),52,Goiás,0.288,0.047,0.411,0.405,0.689,1172.0,383.57
520760,5207600,Fazenda Nova (GO),52,Goiás,0.265,0.037,0.385,0.373,0.699,929.0,428.5
520780,5207808,Firminópolis (GO),52,Goiás,0.364,0.351,0.382,0.36,0.738,2176.0,566.73
520790,5207907,Flores de Goiás (GO),52,Goiás,0.293,0.032,0.361,0.487,0.727,1078.0,378.65
520810,5208103,Formoso (GO),52,Goiás,0.304,0.041,0.394,0.477,0.715,1106.0,434.49
520815,5208152,Gameleira de Goiás (GO),52,Goiás,0.257,0.017,0.361,0.394,0.648,878.0,499.15
520850,5208509,Goiandira (GO),52,Goiás,0.241,0.177,0.243,0.304,0.763,839.0,634.64
520860,5208608,Goianésia (GO),52,Goiás,0.281,0.125,0.345,0.374,0.71,16738.0,553.1
520910,5209101,Goiatuba (GO),52,Goiás,0.353,0.396,0.284,0.379,0.711,6300.0,531.53
520890,5208905,Goiás (GO),52,Goiás,0.328,0.246,0.393,0.346,0.759,5715.0,671.57
520915,5209150,Gouvelândia (GO),52,Goiás,0.302,0.035,0.45,0.421,0.679,1090.0,470.24
