ano_edital,ciclo,chamada,edital_norma,faixa_atracao,categoria_ivs_declarada,criterio_ivs_faixa,parcela_fixa_mensal_brl,parcela_variavel_mensal_brl,bolsa_mensal_total_brl,ajuda_custo_admissivel,regra_ajuda_custo,vigencia_inicio,vigencia_fim
2025,1,1,Edital SGTES/MS ne 3/2025,1,Muito Alta Vulnerabilidade,IVS > 0.500,10000.0,10000.0,20000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-07-24,2025-12-31
2025,1,1,Edital SGTES/MS ne 3/2025,2,Alta Vulnerabilidade,0.400 < IVS <= 0.500,10000.0,5000.0,15000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-07-24,2025-12-31
2025,1,1,Edital SGTES/MS ne 3/2025,3,"M?dia, Baixa ou Muito Baixa Vulnerabilidade",IVS <= 0.400,10000.0,0.0,10000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-07-24,2025-12-31
2025,1,2,Edital SGTES/MS ne 3/2025 - 2e Chamada,1,Muito Alta Vulnerabilidade,IVS > 0.500,10000.0,10000.0,20000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-09-30,2025-12-31
2025,1,2,Edital SGTES/MS ne 3/2025 - 2e Chamada,2,Alta Vulnerabilidade,0.400 < IVS <= 0.500,10000.0,5000.0,15000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-09-30,2025-12-31
2025,1,2,Edital SGTES/MS ne 3/2025 - 2e Chamada,3,"M?dia, Baixa ou Muito Baixa Vulnerabilidade",IVS <= 0.400,10000.0,0.0,10000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2025-09-30,2025-12-31
2026,2,1,Edital SGTES/MS ne 3/2026,1,Muito Alta ou Alta Vulnerabilidade,IVS > 0.400,10000.0,10000.0,20000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-02-03,2026-12-31
2026,2,1,Edital SGTES/MS ne 3/2026,2,M?dia Vulnerabilidade,0.300 < IVS <= 0.400,10000.0,5000.0,15000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-02-03,2026-12-31
2026,2,1,Edital SGTES/MS ne 3/2026,3,Baixa ou Muito Baixa Vulnerabilidade,IVS <= 0.300,10000.0,0.0,10000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-02-03,2026-12-31
2026,2,2,Edital SGTES/MS ne 3/2026 - 2e Chamada,1,Muito Alta ou Alta Vulnerabilidade,IVS > 0.400,10000.0,10000.0,20000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-04-16,2026-12-31
2026,2,2,Edital SGTES/MS ne 3/2026 - 2e Chamada,2,M?dia Vulnerabilidade,0.300 < IVS <= 0.400,10000.0,5000.0,15000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-04-16,2026-12-31
2026,2,2,Edital SGTES/MS ne 3/2026 - 2e Chamada,3,Baixa ou Muito Baixa Vulnerabilidade,IVS <= 0.300,10000.0,0.0,10000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-04-16,2026-12-31
2026,3,1,Edital SGTES/MS ne 28/2026,1,Muito Alta ou Alta Vulnerabilidade,IVS > 0.400,10000.0,10000.0,20000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-07-24,2026-12-31
2026,3,1,Edital SGTES/MS ne 28/2026,2,M?dia Vulnerabilidade,0.300 < IVS <= 0.400,10000.0,5000.0,15000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-07-24,2026-12-31
2026,3,1,Edital SGTES/MS ne 28/2026,3,Baixa ou Muito Baixa Vulnerabilidade,IVS <= 0.300,10000.0,0.0,10000.0,Sim,Ajuda de custo para imers?es presenciais / deslocamento formativo conforme m?dulo presencial,2026-07-24,2026-12-31
