cnes,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
0000485,261160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,PE,NORDESTE
0003859,292740,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,BA,NORDESTE
0012513,330330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,RJ,SUDESTE
0012556,330330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
0220337,250400,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,PB,NORDESTE
2005050,270030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
2006197,270430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,AL,NORDESTE
2009250,270430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,AL,NORDESTE
2010631,270630,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
2011166,270690,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AL,NORDESTE
2012677,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE
2013258,130250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE
2016397,130140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,AM,NORTE
2016923,130190,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AM,NORTE
2017016,130170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,AM,NORTE
2017318,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE
2017431,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE
2017644,130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,AM,NORTE
2017768,130002,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,AM,NORTE
2018136,130120,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE
2019604,130330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,AM,NORTE
2020068,160030,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AP,NORTE
2023474,352470,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2026805,351860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2027356,354870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,SP,SUDESTE
2040069,351880,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2040573,352050,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,SP,SUDESTE
2058308,353340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2078139,354150,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2078414,351740,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,SP,SUDESTE
2078538,352400,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2079836,352270,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2080028,351380,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2080427,351880,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2080478,353700,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2081253,350330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2082098,350270,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2082349,352940,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2082586,353460,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,SP,SUDESTE
2082632,350530,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,SP,SUDESTE
2082691,350210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2083116,352900,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2083272,350635,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2084171,355170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2084228,354910,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2084422,355040,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2085194,352440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,SP,SUDESTE
2087103,352690,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
2088525,352970,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
2096412,352440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,SP,SUDESTE
2098369,316800,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
2098539,312710,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2100681,316210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2100754,314700,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
2109034,315690,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
2109867,316720,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,MG,SUDESTE
2118513,311340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2119463,315560,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2119471,310730,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2119528,315120,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2122650,313840,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2134268,314180,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2134276,310340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
2135132,312160,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,MG,SUDESTE
2135930,313250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
2139030,314140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
2139049,314870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2139146,312560,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2140063,314200,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,MG,SUDESTE
2140217,316870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2143895,313350,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2148293,312090,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,MG,SUDESTE
2149419,315580,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2165058,317010,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,MG,SUDESTE
2167727,315170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,MG,SUDESTE
2191164,311860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2195585,317010,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,MG,SUDESTE
2200473,311860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2201542,313440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2205866,312780,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2205904,311880,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,MG,SUDESTE
2205998,313930,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,MG,SUDESTE
2206064,314710,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2206595,317010,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,MG,SUDESTE
2211262,314430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MG,SUDESTE
2218690,313170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,MG,SUDESTE
2228602,430850,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RS,SUL
2228610,432020,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RS,SUL
2232073,430390,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RS,SUL
2232146,431340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RS,SUL
2232162,432000,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RS,SUL
2232995,431560,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RS,SUL
2235609,430440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,RS,SUL
2236362,430420,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RS,SUL
2248220,431710,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,2,0,False,RS,SUL
2252694,431440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RS,SUL
2253046,431440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RS,SUL
2254611,431720,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RS,SUL
2262274,430470,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,2,0,False,RS,SUL
2267209,330415,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2267454,330015,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
2268922,330190,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2269341,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2269392,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2269481,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2269783,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2269945,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2270056,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2270269,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2270390,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2270609,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2270714,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2273748,330620,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2275562,330390,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2277174,330180,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
2280051,330040,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,True,RJ,SUDESTE
2280248,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2280396,330130,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2280868,330010,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2283239,330290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2283794,330090,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
2285932,330300,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
2287250,330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2287382,330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2287447,330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2287579,330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2287919,330030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
2287927,330030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
2288109,330260,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2290227,330170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2291266,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2292084,330490,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
2292270,330515,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2293862,330320,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2295407,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2296241,330430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2297590,330490,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
2298120,330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
2298317,330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
2301601,292250,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE
