cnes,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
0026964,310620,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
0027022,310620,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2020076,160027,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,AP,NORTE
2079437,352880,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2079976,352640,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2080443,355010,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2080842,351000,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2082519,353550,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2082527,350320,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,SP,SUDESTE
2098407,311320,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2101777,313630,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2105365,312430,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2111624,313670,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2115662,315670,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2117282,315670,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2119420,310860,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2127911,314600,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2139626,315420,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2142376,312610,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2153025,313670,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2164620,310400,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2181770,310620,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2192896,310620,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2200457,310620,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2208172,316860,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,True,MG,SUDESTE
2211254,316860,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,True,MG,SUDESTE
2218798,313670,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,MG,SUDESTE
2232081,430060,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,False,RS,SUL
2244306,431690,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_cnes,,False,1,0,0,True,RS,SUL
