ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
110001,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RO,NORTE
110004,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,3,8,0,True,RO,NORTE
110018,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RO,NORTE
110020,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,True,RO,NORTE
110028,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RO,NORTE
130002,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,AM,NORTE
130120,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE
130140,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,AM,NORTE
130170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,AM,NORTE
130190,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,AM,NORTE
130250,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,True,AM,NORTE
130260,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,5,5,0,True,AM,NORTE
130330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,True,AM,NORTE
130340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,AM,NORTE
150060,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,2,6,0,False,PA,NORTE
150130,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PA,NORTE
150172,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,PA,NORTE
150270,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,PA,NORTE
