ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
110002,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110005,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110006,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110011,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,True,RO,NORTE
110012,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,True,RO,NORTE
110015,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110030,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110045,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
110149,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RO,NORTE
140047,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,RR,NORTE
150140,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,5,0,0,True,PA,NORTE
150442,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,PA,NORTE
150553,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,PA,NORTE
150565,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,PA,NORTE
150680,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,PA,NORTE
150810,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,PA,NORTE
160027,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,AP,NORTE
171610,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,TO,NORTE
210160,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,MA,NORDESTE
210340,1,anestesiologia,225151,principal,reserva_pura,excluido_regra_municipal,,False,1,0,0,False,MA,NORDESTE
