arquivo,source_url,size_bytes,sha256,competencia,adquirido_em_utc,linhas_tb_procedimento,linhas_grupo04,sha256_layout_tb_procedimento,status
TabelaUnificada_202406_v2406131920.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202406_v2406131920.zip,2033205,3a7324cf04a2e47c96af8d47c262a19599e7ef473bad544e767f4bf8e8a1b2b4,202406,2026-08-31T03:56:54.000496+00:00,4798,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202407_v2408022004.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202407_v2408022004.zip,2045614,47f8f2ddc5f016edcc76434ffc865aaea7a0fb60e75d35761683c5e53459d517,202407,2026-08-31T03:56:56.158959+00:00,4827,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202408_v2409111413.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202408_v2409111413.zip,2047146,659a66922f4218b6d2f3d9d035cd4055da39488d6ce8216f868a76e1c59fed0b,202408,2026-08-31T03:56:58.156666+00:00,4829,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202409_v2409111422.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202409_v2409111422.zip,2049760,f411ceecb77ed54f44a53a76e56de898f049de28ef2e0f29a64369f92ea9f2a1,202409,2026-08-31T03:57:00.904244+00:00,4829,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202410_v2410041744.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202410_v2410041744.zip,2054846,db7a2aa156f1f6aa67bd65676ce72fe8b8a73fad47de8b190909f52b99fed2d8,202410,2026-08-31T03:57:02.480941+00:00,4840,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202411_v2411071955.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202411_v2411071955.zip,2057722,c1da7b67230f1cd69b658819cc654eafbe2f925426032c649d9f9f50fd15059b,202411,2026-08-31T03:57:04.023218+00:00,4842,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202412_v2501172121.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202412_v2501172121.zip,2057719,9e5eb87364c0b8b9149b53b254cdd145c20dbd6c92d7c8b90704bf39978b5df9,202412,2026-08-31T03:57:06.451572+00:00,4844,1690,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202501_v2501172128.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202501_v2501172128.zip,2065797,11e0e2bd132b9fa38810cf749c5ad1bbaed5ebfe1be8945b772f7ff187475265,202501,2026-08-31T03:57:08.968243+00:00,4865,1696,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202502_v2502131336.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202502_v2502131336.zip,2066015,f4909b7da7073896134c691adfa501a9c0fa3a64d275b45ae8eab2b8debc2847,202502,2026-08-31T03:57:11.403356+00:00,4865,1696,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202503_v2503101901.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202503_v2503101901.zip,2066186,6f66966aceab3c338654fcbc3dd4a6c0b7f0d4834295d7dce88a2d34ebf22989,202503,2026-08-31T03:57:13.683181+00:00,4865,1696,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202504_v2504031832.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202504_v2504031832.zip,2066765,e46dc79064ba29dfaa40526eda7ca4aa0899670a097ef34484bb45f92bdeee70,202504,2026-08-31T03:57:16.502407+00:00,4866,1696,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202505_v2505061938.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202505_v2505061938.zip,2067239,26a0e1a24de6bbd3bd2c65d4a81fa03e86a70b85d89a2da33c950a0c43dea06c,202505,2026-08-31T03:57:18.729480+00:00,4866,1696,75641d897c8205d3d2e94ddb96431d51bf7a9ed5871ba0645484715cffffb88a,SUCCESS
TabelaUnificada_202506_v2506061904.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202506_v2506061904.zip,2068885,5e92a51e6b1662896bb1b6f5fd978238beb1e78c7e2e9d83fb9b0bca43d03800,202506,2026-08-31T03:57:20.251525+00:00,4869,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202507_v2509181303.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202507_v2509181303.zip,2106669,ce3ae45789521b406da30a72f88cd8c8acb54c77d15ba20badf1a04ae50907a2,202507,2026-08-31T03:57:22.596367+00:00,4893,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202508_v2509181304.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202508_v2509181304.zip,2112647,33ff304d75bde0f8c7c6c61c10e74966ea98e03604ae69316858e8abd26ab70e,202508,2026-08-31T03:57:24.130028+00:00,4924,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202509_v2602261623.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202509_v2602261623.zip,2120613,1cb34941daca23251b290efa2953498461182d0dfb4bad63be96e703415d9297,202509,2026-08-31T03:57:25.580469+00:00,4932,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202510_v2602261632.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202510_v2602261632.zip,2125052,f84a3bad5672686b0b4c4eb46e7553160416553d6fb36ff528a65831ae8b9225,202510,2026-08-31T03:57:27.913396+00:00,4948,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202511_v2602261636.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202511_v2602261636.zip,2127822,230d942c3d00cbd5f781b3cb96e9434f3cb2ebe6c2c06c1812968fc12b599420,202511,2026-08-31T03:57:29.860805+00:00,4955,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202512_v2602261637.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202512_v2602261637.zip,2128178,8a50d87fba2f1cd0803d91d420bfe29ee181d09ee684bf18bbd82a109677c948,202512,2026-08-31T03:57:31.397004+00:00,4957,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202601_v2602261640.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202601_v2602261640.zip,2130354,4d8b21a37619adbc69ccfc98d5de6a2ed2851a74aa5d362b52d579e1170f7637,202601,2026-08-31T03:57:32.959013+00:00,4962,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202602_v2602261644.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202602_v2602261644.zip,2135290,a68937938ee9a3083b442ee046dd13be8a3c14b1fdac815c5d597c8559f0c23c,202602,2026-08-31T03:57:35.721494+00:00,4977,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202603_v2605181534.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202603_v2605181534.zip,2136652,204de6061e805c5ee94bd4032199ca4cecf2ad7c51046ab10ddcff817574e6c5,202603,2026-08-31T03:57:37.378485+00:00,4980,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202604_v2605181544.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202604_v2605181544.zip,2137200,3c1cdf5fea60d2a84b2161a1d53df0985506765afa3741463753548b0686a1a8,202604,2026-08-31T03:57:39.480807+00:00,4982,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202605_v2605210940.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202605_v2605210940.zip,2137819,a3d4d85f6bc87ab4fdb404acc863e3421b70dc1a632562852dae6d3b59712e48,202605,2026-08-31T03:57:41.683702+00:00,4984,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
TabelaUnificada_202606_v2606091427.zip,ftp://ftp2.datasus.gov.br/pub/sistemas/tup/downloads/TabelaUnificada_202606_v2606091427.zip,2141359,c573e01806da0a491bbd68f50acbebf30c8b9be7043877a4a24e96e3b99160d1,202606,2026-08-31T03:57:43.921000+00:00,4994,1696,b1d967812f0895f6a4f0206d902e16d59213aa64cfa08b00dffb878aea179c5b,SUCCESS
