cod_curso,no_curso,cbo_primario,ds_cbo_primario,grau_univocidade,status_uso,cnes_imediata_pura,cnes_reserva_pura,cnes_nao_priorizada_pura,cnes_mista,vagas_imediata_pura,alocados_imediata_pura,taxa_alocacao,municipios_imediata_pura,municipios_nao_priorizada_pura,tem_suporte_comparativo
1,ANESTESIOLOGIA PERIOPERATORIA E SEDACAO SEGURA,225151,MEDICO ANESTESIOLOGISTA,UNIVOCA,CONFIRMATORIO_PRINCIPAL,119,188,305,0,290,133,0.4586,78,247,True
2,CIRURGIA GERAL MINIMAMENTE INVASIVA,225225,MEDICO CIRURGIAO GERAL,UNIVOCA,CONFIRMATORIO_NUCLEO_GERAL,33,242,337,1,72,32,0.4444,23,279,True
3,CIRURGIA ONCOLOGICA AVANCADA,225290,MEDICO CANCEROLOGISTA CIRURGICO,UNIVOCA,SEM_SUPORTE_NAO_PRIORIZADA,13,3,0,1,33,14,0.4242,12,0,False
4,CIRURGIA COLOPROCTOLOGICA COM FOCO EM TUMORES COLORRETAIS,225280,MEDICO COLOPROCTOLOGISTA,SOBREPOSTA_SECUNDARIA,EXPLORATORIO_SOBREPOSTO,18,31,34,1,43,10,0.2326,17,27,True
5,CIRURGIA DO APARELHO DIGESTIVO COM FOCO EM TUMORES DIGESTIVOS,225220,MEDICO CIRURGIAO DO APARELHO DIGESTIVO,UNIVOCA,SEM_SUPORTE_NAO_PRIORIZADA,1,15,0,2,1,0,0.0,1,0,False
6,CIRURGIA GINECOLOGICA COM FOCO EM TUMORES GINECOLOGICOS,225250,MEDICO GINECOLOGISTA E OBSTETRA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,19,36,44,0,47,18,0.383,18,34,True
7,COLONOSCOPIA DIAGNOSTICA E TERAPEUTICA NO SUS,225310,MEDICO EM ENDOSCOPIA,MULTIESPECIALIDADE,SEM_SUPORTE_NAO_PRIORIZADA,25,0,0,0,51,27,0.5294,22,0,False
8,COLPOSCOPIA E DOENCAS DO TRATO GENITAL INFERIOR,225250,MEDICO GINECOLOGISTA E OBSTETRA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,9,55,137,18,9,8,0.8889,9,107,True
9,ECOCARDIOGRAFIA TRANSTORACICA APLICADA AO SUS,225120,MEDICO CARDIOLOGISTA,SOBREPOSTA_DIRETA,MODULO_CONDICIONAL_SIA,56,104,261,0,128,24,0.1875,45,158,True
10,ENDOSCOPIA DIGESTIVA AVANCADA E PROCEDIMENTOS TERAPEUTICOS,225310,MEDICO EM ENDOSCOPIA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,4,72,153,12,4,3,0.75,4,113,True
11,ENDOSCOPIA DIGESTIVA ALTA DIAGNOSTICA E TERAPEUTICA,225310,MEDICO EM ENDOSCOPIA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,22,87,169,1,52,25,0.4808,15,121,True
12,ONCOLOGIA CLINICA: CANCERES PREVALENTES NO SUS,225121,MEDICO ONCOLOGISTA CLINICO,UNIVOCA,CONFIRMATORIO_NUCLEO_GERAL,12,10,39,38,11,5,0.4545,11,35,True
13,RADIOTERAPIA: PLANEJAMENTO E EXECUCAO NO SUS,225330,MEDICO RADIOTERAPEUTA,UNIVOCA,CONFIRMATORIO_NUCLEO_GERAL,7,0,21,24,7,2,0.2857,7,18,True
14,ULTRASSONOGRAFIA MAMARIA DIAGNOSTICA E INTERVENCIONISTA,225320,MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM,MULTIESPECIALIDADE_EXCLUSIVA,CONFIRMATORIO_NUCLEO_GERAL,13,139,774,18,12,9,0.75,11,555,True
15,VIDEOLARINGOSCOPIA E ENDOSCOPIA NASOFARINGEA,225275,MEDICO OTORRINOLARINGOLOGISTA,UNIVOCA,SEM_SUPORTE_NAO_PRIORIZADA,14,6,0,16,14,13,0.9286,14,0,False
16,ANATOMIA PATOLOGICA COM ENFASE EM ONCOLOGIA E DIAGNOSTICO INTEGRADO,225148,MEDICO ANATOMOPATOLOGISTA,FAMILIA_PATOLOGIA,SEM_SUPORTE_NAO_PRIORIZADA,8,3,0,0,24,19,0.7917,8,0,False
17,PSIQUIATRIA CLINICA EM CENTROS DE ATENCAO PSICOSSOCIAL,225133,MEDICO PSIQUIATRA,UNIVOCA,SEM_SUPORTE_NAO_PRIORIZADA,30,77,0,0,30,24,0.8,28,0,False
18,CUIDADOS INTEGRADOS EM CARDIOLOGIA NO SUS,225120,MEDICO CARDIOLOGISTA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,18,399,741,22,18,5,0.2778,18,458,True
19,CIRURGIA ROBOTICA APLICADA AO TRATAMENTO DE TUMORES UROLOGICOS,225285,MEDICO UROLOGISTA,UNIVOCA,SEM_SUPORTE_NAO_PRIORIZADA,1,0,0,4,1,1,1.0,1,0,False
20,CIRURGIA ROBOTICA APLICADA AO TRATAMENTO DE TUMORES COLORRETAIS,225280,MEDICO COLOPROCTOLOGISTA,SOBREPOSTA_DIRETA,SEM_SUPORTE_NAO_PRIORIZADA,2,0,0,2,2,1,0.5,2,0,False
21,CIRURGIA MAMARIA ONCOLOGICA E RECONSTRUTIVA,225260,MEDICO MASTOLOGISTA,UNIVOCA,CONFIRMATORIO_NUCLEO_GERAL,7,29,30,23,7,7,1.0,4,27,True
22,CIRURGIA ORTOPEDICA COM FOCO EM CIRURGIAS DE JOELHO,225270,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,SOBREPOSTA_DIRETA,EXPLORATORIO_SOBREPOSTO,4,33,113,26,4,3,0.75,4,102,True
23,CIRURGIA DO QUADRIL COM FOCO EM RECONSTRUCOES E ARTROPLASTIAS,225270,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,SOBREPOSTA_DIRETA,SEM_SUPORTE_NAO_PRIORIZADA,10,4,0,14,16,9,0.5625,10,0,False
