competencia,fase,beta,se,t_stat,p_valor,ci_95_inferior,ci_95_superior,referencia
202406,PRE,0.24334661479572586,0.286773088985815,0.8485685168588564,0.39832393952189,-0.3262094933088101,0.8129027229002618,False
202407,PRE,0.20329392107881958,0.2814996162028425,0.7221818765547816,0.47201434548731486,-0.35578861488864044,0.7623764570462797,False
202408,PRE,0.2365398814331565,0.25437356491922125,0.9298917578494132,0.35486069144707777,-0.2686679752469888,0.7417477381133019,False
202409,PRE,0.2461158213719196,0.24800486479994327,0.9923830388184219,0.32361364799625486,-0.2464432471445627,0.7386748898884019,False
202410,PRE,0.01059313489777587,0.2744900269228693,0.03859205748394095,0.9692992555338159,-0.5345677517132821,0.5557540215088339,False
202411,PRE,-0.07594918001250636,0.27557434112010554,-0.2756032354238847,0.78347090434826,-0.6232636082139711,0.4713652481889583,False
202412,PRE,-0.062303326228288616,0.25681967014205614,-0.24259561658118484,0.8088586932514509,-0.572369359021329,0.4477627065647518,False
202501,PRE,0.10266955841042995,0.22953093082768986,0.4473016252763971,0.6557086523766815,-0.3531986826235012,0.5585377994443611,False
202502,PRE,0.09599680188946491,0.21827290366862453,0.43980173569873987,0.6611121454922386,-0.33751202544798237,0.5295056292269122,False
202503,PRE,0.16077428132296945,0.17982703574723677,0.8940495552012118,0.3736283063563728,-0.19637773379249923,0.5179262964384381,False
202504,PRE,0.10792945124041207,0.12003324007286782,0.8991630249661846,0.37091324703429596,-0.13046692444762076,0.34632582692844494,False
202505,PRE,0.031344028079198956,0.06794581500217362,0.46130917817670225,0.6456656116312443,-0.10360222539071087,0.16629028154910877,False
202506,PRE,0.0,0.0,0.0,1.0,0.0,0.0,True
202507,TRANSICAO,0.08512568486520553,0.0749730246896961,1.1354175080641338,0.2591497615750357,-0.06377721361143915,0.2340285833418502,False
202508,POS,-0.1207722739620289,0.13236939919899748,-0.9123881704748539,0.36394910374707323,-0.38366932649419966,0.14212477857014189,False
202509,POS,-0.0413965827889803,0.1425181136955844,-0.290465413241453,0.7721139485922591,-0.3244498583174659,0.24165669273950535,False
202510,POS,-0.26647776180879884,0.24259215738449819,-1.098459920064287,0.2748701496545937,-0.7482867261898057,0.21533120257220806,False
202511,POS,-0.1279057829288865,0.24993774141014616,-0.5117505751922194,0.6100517759081039,-0.6243037112332477,0.36849214537547464,False
202512,POS,-0.13641123406508301,0.2510166932172523,-0.543434909912627,0.5881447767641362,-0.6349520537901873,0.3621295856600213,False
202601,POS,-0.3973687881686628,0.2823404401967899,-1.4074101035321,0.16267549680028096,-0.958121273165466,0.1633836968281404,False
202602,POS,-0.334644393010732,0.29516173939139134,-1.133766163936938,0.2598383892317254,-0.9208610849034697,0.2515722988820057,False
202603,POS,-0.13624833148910076,0.27532135964060667,-0.49487018249130327,0.6218715482703238,-0.6830603166356908,0.41056365365748926,False
202604,POS,-0.15500451267607443,0.29346254716139947,-0.5281918056508402,0.5986379966116228,-0.7378464621309556,0.4278374367788068,False
202605,POS,-0.5835084107659564,0.3610647390934447,-1.6160769734286973,0.10950187490838453,-1.3006141486129768,0.13359732708106398,False
202606,POS,-0.9236907585790529,0.5022831942269633,-1.8389840018451244,0.06914334595129555,-1.9212685378677317,0.07388702070962572,False
202607,POS,-0.9271469618667975,0.5737570001207973,-1.6159227018957474,0.10953527876083965,-2.066677889061641,0.21238396532804604,False
