cod_ibge6,cod_ibge7,municipio_uf,uf,ivs_2010,populacao_2010,idhm_2010,rdpc_2010,faixa,bolsa,n_medicos,taxa_preench,q_local_total,q_ext_total,q_global_total,r_local,r_global,r_diag_global_1000,r_cons_global_1000,r_cirurgica,horas_viagem_poupadas_ano,viagens_evitadas_ano,economia_transporte_ano,qalys_gerados,indice_kling_katz
530010.0,5300108.0,Brasília (DF),53.0,0.315,711540.0,0.799,1157.82,Faixa 2 (R$ 15k),15000.0,4.0,0.88,9120.0,27190.0,36310.0,0.2512,51.03,19.13,31.9,1.0,45090.0,6513.0,553605.0,792.96,0.34086378914580145
520013.0,5200134.0,Acreúna (GO),52.0,0.327,4912.0,0.669,462.5,Faixa 2 (R$ 15k),15000.0,0.0,0.7,6153.0,11972.0,18125.0,0.3395,3689.94,1221.91,2468.04,0.0,0.0,0.0,0.0,0.0,-0.33752613889751004
520015.0,5200159.0,Adelândia (GO),52.0,0.283,672.0,0.684,417.7,Faixa 3 (R$ 10k),10000.0,0.0,0.35,0.0,1842.0,1842.0,0.0,2741.07,1443.45,1297.62,0.0,0.0,0.0,0.0,0.0,-0.5243142634721318
520050.0,5200506.0,Aloândia (GO),52.0,0.279,395.0,0.68,503.41,Faixa 3 (R$ 10k),10000.0,0.0,0.35,109.0,935.0,1044.0,0.1044,2643.04,1022.78,1620.25,0.0,0.0,0.0,0.0,0.0,-0.4810164524731249
520055.0,5200555.0,Alto Horizonte (GO),52.0,0.233,1226.0,0.713,521.27,Faixa 3 (R$ 10k),10000.0,0.0,0.35,1566.0,5105.0,6671.0,0.2347,5441.27,2646.0,2795.27,0.0,0.0,0.0,0.0,0.0,-0.3338060978743886
520060.0,5200605.0,Alto Paraíso de Goiás (GO),52.0,0.3,1652.0,0.721,461.63,Faixa 3 (R$ 10k),10000.0,0.0,0.35,710.0,3476.0,4186.0,0.1696,2533.9,1191.28,1342.62,0.0,0.0,0.0,0.0,0.0,-0.4434144668572088
520080.0,5200803.0,Alvorada do Norte (GO),52.0,0.406,2422.0,0.675,371.34,Faixa 1 (R$ 20k),20000.0,0.0,0.8,1448.0,11383.0,12831.0,0.1129,5297.69,1989.27,3308.42,0.0,0.0,0.0,0.0,0.0,-0.4173735545546672
520085.0,5200852.0,Americano do Brasil (GO),52.0,0.345,1224.0,0.715,484.17,Faixa 2 (R$ 15k),15000.0,0.0,0.7,0.0,4785.0,4785.0,0.0,3909.31,1535.13,2374.18,0.0,0.0,0.0,0.0,0.0,-0.5069415462119075
520090.0,5200902.0,Amorinópolis (GO),52.0,0.427,544.0,0.675,449.96,Faixa 1 (R$ 20k),20000.0,0.0,0.8,477.0,2013.0,2490.0,0.1916,4577.21,2181.99,2395.22,0.0,0.0,0.0,0.0,0.0,-0.3798200614517345
520130.0,5201306.0,Anicuns (GO),52.0,0.257,4214.0,0.714,506.27,Faixa 3 (R$ 10k),10000.0,0.0,0.35,1345.0,12265.0,13610.0,0.0988,3229.71,1401.76,1827.95,0.0,0.0,0.0,0.0,0.0,-0.4666375705650848
