corte_taxonomia,fronteira_discreta,bandwidth,n_abaixo,n_acima,n_total,media_abaixo_mil_brl,media_acima_mil_brl,diferenca_bruta_mil_brl,salto_local_linear_mil_brl,erro_padrao_hc1_mil_brl,p_valor
0.4,0.4005,0.01,10,8,18,18.5,18.125,-0.375,4.393843962189489,1.6043786993322595,0.0061690579764980095
0.4,0.4005,0.02,28,18,46,18.035714285714285,18.055555555555554,0.019841269841268883,0.19037543560673242,2.06391652640112,0.9265074446198347
0.4,0.4005,0.03,41,26,67,17.439024390243905,18.076923076923077,0.637898686679172,-0.30981647450738437,1.5569092694053583,0.8422670002489988
0.4,0.4005,0.05,77,39,116,16.623376623376622,18.333333333333332,1.7099567099567103,-0.7031671515383713,1.1045869556444459,0.5243930368625549
0.4,0.4005,0.08,129,51,180,15.58139534883721,18.72549019607843,3.1440948472412185,-0.8943863776441235,0.8499441350337688,0.29266723931874983
0.49999999999999994,0.5005,0.01,4,5,9,20.0,20.0,0.0,9.036600216565339e-15,4.873840001834602e-15,0.06372445942428422
0.49999999999999994,0.5005,0.02,8,6,14,20.0,20.0,0.0,-3.552713678800501e-15,1.2179895112637257e-14,0.7705261623332522
0.49999999999999994,0.5005,0.03,11,7,18,20.0,20.0,0.0,5.329070518200751e-15,8.203908157114157e-15,0.5159654568309138
0.49999999999999994,0.5005,0.05,20,11,31,20.0,20.0,0.0,-3.3306690738754696e-15,9.520444711261141e-15,0.7264558850703922
0.49999999999999994,0.5005,0.08,41,15,56,19.26829268292683,20.0,0.7317073170731696,-0.357576582907043,0.1622349176172037,0.027519652142277036
