co_ibge_6d,sg_uf,no_municipio,faixa_anunciada,n_celulas_publicadas,n_cursos,n_cnes,qt_vagas_total,valor_anunciado_mensal_brl,ivs_publico_2010,faixa_recalculada_taxonomia_externa,valor_recalculado_taxonomia_externa_brl,reproduz_faixa,reproduz_valor,distancia_corte_0_400,distancia_corte_0_500,score_administrativo_comprovado,fonte_running_variable
110001,RO,ALTA FLORESTA D'OESTE,FAIXA 2,1,1,1,1,15000,0.332,FAIXA 3,10000,False,False,-0.068,-0.16799999999999998,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110002,RO,ARIQUEMES,FAIXA 3,6,6,2,7,10000,0.26,FAIXA 3,10000,True,True,-0.14,-0.24,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110004,RO,CACOAL,FAIXA 3,1,1,1,1,10000,0.256,FAIXA 3,10000,True,True,-0.14400000000000002,-0.244,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110005,RO,CEREJEIRAS,FAIXA 3,1,1,1,1,10000,0.305,FAIXA 3,10000,True,True,-0.09500000000000003,-0.195,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110006,RO,COLORADO DO OESTE,FAIXA 3,1,1,1,1,10000,0.316,FAIXA 3,10000,True,True,-0.08400000000000002,-0.184,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110011,RO,JARU,FAIXA 2,5,5,2,11,15000,0.308,FAIXA 3,10000,False,False,-0.09200000000000003,-0.192,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110012,RO,JI-PARANA,FAIXA 3,4,4,1,6,10000,0.289,FAIXA 3,10000,True,True,-0.11100000000000004,-0.21100000000000002,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110014,RO,NOVA BRASILANDIA D'OESTE,FAIXA 2,1,1,1,1,15000,0.315,FAIXA 3,10000,False,False,-0.08500000000000002,-0.185,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110015,RO,OURO PRETO DO OESTE,FAIXA 3,1,1,1,2,10000,0.265,FAIXA 3,10000,True,True,-0.135,-0.235,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110018,RO,PIMENTA BUENO,FAIXA 3,2,2,1,2,10000,0.25,FAIXA 3,10000,True,True,-0.15000000000000002,-0.25,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110020,RO,PORTO VELHO,FAIXA 2,5,4,2,11,15000,0.309,FAIXA 3,10000,False,False,-0.09100000000000003,-0.191,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110025,RO,PRESIDENTE MEDICI,FAIXA 2,1,1,1,2,15000,0.357,FAIXA 3,10000,False,False,-0.04300000000000004,-0.14300000000000002,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110028,RO,ROLIM DE MOURA,FAIXA 3,7,7,1,15,10000,0.279,FAIXA 3,10000,True,True,-0.121,-0.22099999999999997,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110030,RO,VILHENA,FAIXA 3,5,5,1,5,10000,0.259,FAIXA 3,10000,True,True,-0.14100000000000001,-0.241,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110032,RO,SAO MIGUEL DO GUAPORE,FAIXA 2,1,1,1,1,15000,0.336,FAIXA 3,10000,False,False,-0.064,-0.16399999999999998,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110034,RO,ALVORADA D'OESTE,FAIXA 2,1,1,1,1,15000,0.279,FAIXA 3,10000,False,False,-0.121,-0.22099999999999997,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
110140,RO,MONTE NEGRO,FAIXA 2,2,2,1,2,15000,0.277,FAIXA 3,10000,False,False,-0.123,-0.22299999999999998,False,IVS_IPEA_2010_PUBLICO_CANDIDATO
