id,pilar,tema,autores,ano,titulo,periodico,doi,metodologia,principais_achados,implicacao_pmme
THEORY_01,1. Teoria Econômica,Diferenciais Compensatórios e Oferta Espacial,"Rosen, Sherwin",1974,Hedonic Prices and Implicit Markets: Product Differentiation in Pure Competition,Journal of Political Economy,10.1086/260169,Modelo Teórico de Equilíbrio Hedônico,Estabelece as bases da teoria dos diferenciais equalizadores de salários e preços hedônicos com base em atributos locacionais e de trabalho.,Fundamenta por que médicos especialistas exigem diferenciais compensatórios substantivos (bolsas escalonadas) para atuar em regiões vulneráveis/remotas.
THEORY_02,1. Teoria Econômica,Escolha Espacial e Preços Locais,"Roback, Jennifer",1982,"Wages, Rents, and the Quality of Life",Journal of Political Economy,10.1086/261120,Modelo Teórico de Equilíbrio Geral Espacial,"Modela o trade-off entre salários, aluguéis e amenidades na decisão de localização geográfica dos trabalhadores e firmas.",Explica por que incentivos monetários isolados podem ser insuficientes na ausência de amenidades locais e infraestrutura de saúde.
THEORY_03,1. Teoria Econômica,Fricções de Matching no Mercado Médico,"Roth, Alvin E.; Peranson, Elliott",1999,The Redesign of the Matching Market for American Physicians: Some Engineering Aspects of Economic Design,American Economic Review,10.1257/aer.89.4.748,Design de Mercados e Teoria dos Jogos,Demonstra como processos centralizados de matching resolvem severas falhas de coordenação e reduzem custos de busca no mercado de trabalho médico.,Explica o papel da disponibilização centralizada de vagas do PMM-E na redução de atritos informacionais e facilitação do preenchimento de postos.
THEORY_04,1. Teoria Econômica,Incentivos Públicos e Efeito de Substituição,"Laffont, Jean-Jacques; Tirole, Jean",1993,A Theory of Incentives in Procurement and Regulation,MIT Press,10.7551/mitpress/6755.001.0001,Teoria de Contratos e Desenho de Mecanismos,Analisa riscos morais e incentivos assimétricos em transferências fiscais e provimento descentralizado de serviços públicos.,"Alerta para o risco de crowding-out fiscal, onde a oferta federal gratuita pode substituir contratações municipais de médicos preexistentes."
EMP_01,2. Evidência Empírica,Avaliação do Mais Médicos (PMM 2013) e Crowding-Out,"Mattos, Enlinson; Maziero, Cristina",2020,"Evaluating the More Doctors Program: Evidence on Supply, Utilization, and Substitution Effects",Health Economics,10.1002/hec.4150,Diferença em Diferenças (DiD) com dados municipais do CNES e SIA/SUS,"O PMM expandiu o atendimento na atenção primária, mas gerou substituição de médicos municipais por médicos do programa, atenuando o ganho líquido.",Destaca a necessidade absoluta de avaliar o estoque líquido total de especialistas no município para não confundir substituição com expansão de capacidade.
EMP_02,2. Evidência Empírica,Impacto do PMM sobre Internações e Desfechos,"Fontes, Fernando; Conceição, Marcelo; Jacinto, Paulo",2018,Avaliação de Impacto do Programa Mais Médicos sobre as Internações por Condições Sensíveis à Atenção Primária,Revista Brasileira de Economia,10.5935/0034-7140.20180015,Diferença em Diferenças com Pareamento por Escore de Propensão (PSM-DiD),Redução estatisticamente significante de internações sensíveis à atenção básica nos municípios contemplados com maior escassez médica inicial.,Demonstra que programas federais de provimento têm efeitos concentrados e heterogêneos onde a vulnerabilidade inicial é mais crítica.
EMP_03,2. Evidência Empírica,Programas de Provimento nos EUA (NHSC),"Pathman, Donald E.; Konrad, Thomas R.; King, Tonya S.; Taylor, Donald H.; Koch, Gary G.",2004,"Outcomes of States' Scholarship, Loan Repayment, and Related Programs for Physicians",Medical Care,10.1097/01.mlr.0000128004.26577.8b,Estudo Longitudinal de Coortes de Retenção,"Programas de perdão de dívida obtêm alta taxa de retenção durante o contrato obrigatório, mas queda substancial de permanência após o cumprimento do período vinculado.",Fundamenta a importância de medir separadamente a permanência aos 6 meses (horizonte maduro) e aos 12 meses (horizonte prospectivo).
EMP_04,2. Evidência Empírica,Revisão Global de Intervenções Financeiras em Saúde,"Grobler, Liesl; Marais, Ben J.; Mabunda, Sphiwe",2015,Interventions for Increasing the Proportion of Health Professionals Practising in Rural and Other Underserved Areas,Cochrane Database of Systematic Reviews,10.1002/14651858.CD005314.pub3,Revisão Sistemática Cochrane,"Incentivos financeiros diretos são efetivos na atração de curto prazo, mas dependem de suporte institucional e educacional para fixação duradoura.",O componente educacional do PMM-E (especialização/aprimoramento acadêmico) é teoricamente alinhado às recomendações da literatura para mitigar evasão.
MET_01,3. Metodologia Econométrica,Identificação por Tripla Diferença (DDD),"Olden, Andreas; Møen, Jarle",2022,The Triple Difference Estimator,The Econometrics Journal,10.1093/ectj/utac010,Teoria Econométrica de Causalidade em Painel,Formaliza as condições exatas sob as quais o estimador DDD relaxa hipóteses de tendências paralelas e elimina choques locais contemporâneos.,Justifica o uso da especificação canônica Y_mst = alpha_ms + gamma_mt + delta_st + beta*(Immediate x Post) para absorver choques municipais e nacionais.
MET_02,3. Metodologia Econométrica,Testes de Pré-Tendências e Estudos de Evento,"Roth, Jonathan",2022,Pretest with Caution: Event-Study Estimates After Testing for Parallel Trends,American Economic Review: Insights,10.1257/aeri.20210236,Econometria Teórica e Inferência Pós-Seleção,Analisa o poder estatístico de testes de pré-tendências paralelas e orienta boas práticas de reporte sem seleção oportunista de janelas.,Orienta a pré-fixação da janela temporal (2024-06 a 2026-07) e o reporte do teste conjunto de Wald sobre todos os períodos pré-anúncio.
