sg_uf,n_municipios,count,mean,uf_fe
AC,7,22,0.09090909090909091,AC
AL,4,13,0.46153846153846156,RESTO
AM,11,26,0.34615384615384615,AM
AP,4,11,0.18181818181818182,RESTO
BA,21,115,0.43478260869565216,BA
CE,21,100,0.47,CE
DF,1,2,1.0,RESTO
ES,3,5,0.0,RESTO
GO,21,43,0.27906976744186046,GO
MA,32,90,0.4,MA
MG,63,252,0.20634920634920634,MG
MS,6,15,0.13333333333333333,MS
MT,18,42,0.09523809523809523,MT
PA,20,95,0.25263157894736843,PA
PB,3,18,0.8888888888888888,RESTO
PE,4,6,0.6666666666666666,RESTO
PI,12,108,0.2777777777777778,PI
PR,5,13,0.23076923076923078,PR
RJ,19,37,0.32432432432432434,RJ
RN,11,48,0.4375,RN
RO,19,47,0.10638297872340426,RO
RR,2,23,0.30434782608695654,RESTO
RS,19,47,0.1702127659574468,RS
SC,12,20,0.35,SC
SE,2,7,0.7142857142857143,RESTO
SP,22,68,0.38235294117647056,SP
TO,6,22,0.045454545454545456,TO
