termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
estrato_capital,0.23177834639585423,0.08602026249868958,0.06318172995774124,0.40037496283396723,0.007050232138949098,0.007050232138949098,LPM_minimal_estrato_FEcurso_FEuf_cluster,1295,368,0.2375696807443819,0.30347490347490347
estrato_interior_proximo_polo,0.12660196219154224,0.043146666096024036,0.04203605059035971,0.21116787379272478,0.0033438331726470716,0.005015749758970608,LPM_minimal_estrato_FEcurso_FEuf_cluster,1295,368,0.2375696807443819,0.30347490347490347
estrato_metropolitano,0.2942337986639331,0.060638512016031515,0.17538449903641207,0.4130830982914542,1.2206273430886325e-06,3.6618820292658976e-06,LPM_minimal_estrato_FEcurso_FEuf_cluster,1295,368,0.2375696807443819,0.30347490347490347
const,0.036215697953093054,0.0556484675214912,-0.07285329418387662,0.14528469009006273,0.5151793673711373,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_10,-0.23972550645102517,0.046619123435715816,-0.33109730937585535,-0.14835370352619498,2.715196701642453e-07,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_11,-0.2198536147665065,0.042421412969598046,-0.30299805636021904,-0.136709173172794,2.1880291624871422e-07,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_12,-0.027210966433237057,0.09122006185716142,-0.20599900234078936,0.15157706947431523,0.7654740203901944,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_13,0.03695857521348973,0.11275502827623404,-0.1840372192837244,0.25795436971070385,0.7430798072874649,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_14,0.11356721692276651,0.05737415636555379,0.0011159368029115962,0.22601849704262145,0.047769396723910534,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_15,0.2128621929544741,0.07006743378313318,0.075532546250388,0.35019183965856016,0.0023818408154805053,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_16,-0.033224760868120505,0.09417141574851855,-0.21779734410836493,0.1513478223721239,0.724229742477349,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_2,0.09916318444413774,0.06934592473860271,-0.03675233051814872,0.2350786994064242,0.15272317742521171,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_3,0.16178909830050572,0.11966902357339575,-0.07275787796842467,0.3963360745694361,0.17638446205667235,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_4,0.160142102274045,0.08800074126894378,-0.01233618122591243,0.33262038577400244,0.06879231844671356,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_5,-0.03606654122629166,0.07920544055124899,-0.191306352086368,0.11917326963378469,0.6488543374666964,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_6,0.28695919766292094,0.07834820094034677,0.13339954556633407,0.44051884975950784,0.0002496548379681756,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_7,-0.15828026806015966,0.05040068687402584,-0.25706379912933097,-0.05949673699098837,0.001686950019239072,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_8,0.3158168042517789,0.058941782045780884,0.20029303425743877,0.431340574246119,8.409504302021019e-08,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
cod_curso_9,-0.11229558825149819,0.05584939829945987,-0.2217583974766721,-0.0028327790263242975,0.04435866213757792,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
faixa_FAIXA 2,0.10825374777897202,0.04464425914811299,0.020752607732197725,0.19575488782574632,0.015316493277553533,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
faixa_FAIXA 3,0.008586130501787307,0.051250359366739974,-0.09186272805175806,0.10903498905533267,0.8669506220827867,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_AM,0.26111774311764074,0.08946677767205884,0.08576608106755318,0.4364694051677283,0.003516070059874186,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_BA,0.3252098965488964,0.06200732280667776,0.2036777770700589,0.44674201602773395,1.5653558010376527e-07,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_CE,0.4241503036115014,0.07021384165525572,0.286533702751002,0.5617669044720008,1.533177370626378e-09,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_GO,0.1938738290190164,0.11457910514780967,-0.03069709045151847,0.41844474848955127,0.09063601775207501,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_MA,0.35343231629434996,0.0749588623832155,0.20651564570115333,0.5003489868875466,2.4169047649606235e-06,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_MG,0.14743346726878573,0.059915610000781744,0.030001029555505626,0.26486590498206586,0.013867190024013442,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_MS,0.04545838282646595,0.10003927327608536,-0.15061498983422167,0.24153175548715355,0.6495370891673016,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_MT,0.07872748828054783,0.08139541047917738,-0.08080458476549394,0.2382595613265896,0.33343271917958883,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_PA,0.1931743328237182,0.06141664842538174,0.07279991385881138,0.31354875178862507,0.0016591152983668322,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
uf_fe_PI,0.1376847944425307,0.06159303364618501,0.016964666797444322,0.2584049220876171,0.025391390812613056,,LPM_faixa_only_FE,1295,368,0.2216044511115306,0.30347490347490347
