termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio
const,-0.15692345973456573,0.2858978799524293,-0.7172730076976832,0.4034260882285517,0.5830882090680922,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_10,-0.2927332128362049,0.04681686998478297,-0.3844925918752738,-0.20097383379713601,4.0334101498127914e-10,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_11,-0.27774760069813753,0.04153310615820052,-0.3591509929342893,-0.19634420846198578,2.2720372043444526e-11,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_12,-0.0878095651412547,0.08994186852244768,-0.2640923881474889,0.08847325786497952,0.32891957152296014,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_13,-0.0377312945011894,0.11020916521194676,-0.2537372890828297,0.1782747000804509,0.7320794087215323,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_14,0.10624859034806447,0.056978186456913577,-0.005426603011894002,0.21792378370802296,0.062220104392696006,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_15,0.17725504795678831,0.06776413149536183,0.04443979078224278,0.3100703051313338,0.008902778981693886,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_16,-0.11315626390405589,0.0978141808392897,-0.3048685355263515,0.07855600771823976,0.24733394715239754,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_2,0.08612798787381079,0.06946932914894609,-0.0500293952882821,0.22228537103590368,0.21504983839435787,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_3,0.0827540953047367,0.12274677738131394,-0.15782516758099435,0.32333335819046777,0.5001933982850053,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_4,0.09732378376632118,0.0851115285662422,-0.0694917468926655,0.26413931442530786,0.2528371448887775,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_5,-0.09808876609832745,0.07825829743242528,-0.2514722105573044,0.055294678360649496,0.21006102627263068,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_6,0.25405547205600787,0.07629454656398843,0.10452090857377641,0.40359003553823936,0.0008686793162785079,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_7,-0.19989427131276258,0.049226099581093676,-0.2963756535910884,-0.10341288903443674,4.891793524158172e-05,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_8,0.3083538376263894,0.05943120786836743,0.19187081064667577,0.42483686460610304,2.1209024218562035e-07,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
cod_curso_9,-0.13327540100404006,0.053823854104862574,-0.23876821655870906,-0.027782585449371067,0.0132811468059924,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
estoque_por_10k,0.0009252358427565098,0.000789957823963003,-0.0006230530415166081,0.002473524727029628,0.2414994516749165,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
estrato_capital,0.19840981019965623,0.12272592383194149,-0.04212858048035498,0.43894820087966746,0.10594514951766791,0.11397123585860693,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
estrato_interior_proximo_polo,0.0839202402115133,0.05309416490059268,-0.02014241078287901,0.1879828912059056,0.11397123585860693,0.11397123585860693,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
estrato_metropolitano,0.21088195653212782,0.07815686369210499,0.05769731855099586,0.3640665945132598,0.006971793580461561,0.020915380741384684,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
faixa_FAIXA 2,-0.008885112593887873,0.047440100645938094,-0.10186600128288188,0.08409577609510614,0.851432335250658,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
faixa_FAIXA 3,-0.10611502100992544,0.06461860260570712,-0.23276515484841748,0.020535112828566612,0.1005538470552273,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
ivs_2010,-0.9568383515654444,1.1656287320343592,-3.241428685697878,1.3277519825669895,0.4117160717738141,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
log_pop,0.03697410704767606,0.02312630957733804,-0.00835262681923022,0.08230084091458234,0.1098673240590025,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_AM,0.24939423007049621,0.11181358271317306,0.030243634970286648,0.4685448251707058,0.02571780605485778,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_BA,0.3915292760786037,0.08594806504326515,0.22307416405289804,0.5599843881043094,5.228175837627401e-06,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_CE,0.4350723658959448,0.09314955083826867,0.2525026010768554,0.6176421307150342,3.0019453492743697e-06,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_GO,0.2796310288715168,0.12110874688026861,0.0422622467734127,0.5169998109696209,0.020947736344257395,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MA,0.3585419301912081,0.0907972239348937,0.1805826413825983,0.536501218999818,7.853724612496845e-05,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MACRO_CENTRO-OESTE,0.6669151254632572,0.10583559332134977,0.4594811742709837,0.8743490766555306,2.9492019171634587e-10,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MACRO_NORDESTE,0.6403907194174542,0.09802082721623714,0.44827342833880585,0.8325080104961025,6.437446853317214e-11,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MACRO_NORTE,0.09974376131392984,0.1052011732579106,-0.1064467494029332,0.3059342720307929,0.34306631163001344,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.07859084961481913,0.08508531702746605,-0.08817330737218693,0.2453550066018252,0.3556575756392645,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MACRO_SUDESTE,-0.07881520470192674,0.1152054902120495,-0.30461381633882545,0.146983406934972,0.4938948734577704,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MG,0.2424782486071505,0.08081774911483748,0.08407837103047522,0.4008781261838258,0.0026970553186574427,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MS,0.09894718627788439,0.11555970540210907,-0.12754567437430808,0.3254400469300769,0.3918633946749074,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_MT,0.18384035277317798,0.0893782941860475,0.008662115168899198,0.35901859037745676,0.03969784880911458,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_PA,0.2374284735310571,0.08333233180138779,0.07410010445259521,0.40075684260951894,0.004383263573081221,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_PI,0.19348802458830305,0.0794303694089047,0.037807361268137774,0.34916868790846833,0.014852935794805703,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_PR,0.37714697538313285,0.13414860609338086,0.11422053886385591,0.6400734119024099,0.004932461050271412,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_RJ,0.4214799405747396,0.11193661091494063,0.20208821462998286,0.6408716665194963,0.0001663193786761021,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_RN,0.4558808258185039,0.1285896583969736,0.20384972657612715,0.7079119250608807,0.0003922600911194591,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_RO,0.20713953195831986,0.08268998041832959,0.045070148456071546,0.36920891546056817,0.012244665814526542,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_RS,0.19966266612195016,0.1009932431119334,0.0017195469406627861,0.39760578530323754,0.048042722031588575,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_SC,0.2745022341207608,0.14397446904213815,-0.007682539895106921,0.5566870081366285,0.05657194474717426,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_SP,0.3806763225092555,0.09810374324305986,0.1883965190042935,0.5729561260142175,0.000104308607376055,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
uf_fe_TO,0.0891799394157093,0.09441876187077727,-0.09587743331587785,0.27423731214729646,0.34490652653838605,,LPM_full_ivs_quadratico,1295,368,0.26724884744786037,0.30347490347490347
