cod_curso,n_celulas,n_municipios,estoque_medio,atracao_media,confirmatoria_mean
11,165,165,18.496969696969696,0.1393939393939394,0.0
7,144,144,14.36111111111111,0.18055555555555555,0.0
1,138,138,7.659420289855072,0.2971014492753623,0.9927536231884058
10,115,115,12.278260869565218,0.10434782608695652,0.0
14,101,101,20.03960396039604,0.44554455445544555,0.9900990099009901
8,87,87,17.28735632183908,0.632183908045977,0.0
9,75,75,12.293333333333333,0.24,1.0
2,63,63,12.714285714285714,0.4126984126984127,1.0
5,48,48,4.416666666666667,0.2916666666666667,0.9791666666666666
15,47,47,3.9361702127659575,0.5957446808510638,0.9361702127659575
4,40,40,3.8,0.5,0.0
6,40,40,39.625,0.6,0.0
12,38,38,7.973684210526316,0.3157894736842105,1.0
16,36,36,18.416666666666668,0.3055555555555556,1.0
3,25,25,3.84,0.52,1.0
13,22,22,3.409090909090909,0.45454545454545453,1.0
