sg_uf,n_municipios,count,mean,uf_fe,colapsada,variante_uf_fe
11,19,46,7.521739130434782,11,False,macro_regiao
12,7,22,14.545454545454545,12,False,macro_regiao
13,11,22,8.045454545454545,13,False,macro_regiao
14,2,22,18.09090909090909,MACRO_NORTE,True,macro_regiao
15,20,84,12.869047619047619,15,False,macro_regiao
16,4,10,29.3,MACRO_NORTE;MACRO_SEM_REGIAO_SAUDE,True,macro_regiao
17,6,22,7.636363636363637,17,False,macro_regiao
21,32,89,6.820224719101123,21,False,macro_regiao
22,12,87,7.413793103448276,22,False,macro_regiao
23,21,85,9.435294117647059,23,False,macro_regiao
24,11,39,8.333333333333334,24,False,macro_regiao
25,3,18,11.222222222222221,MACRO_NORDESTE,True,macro_regiao
26,4,6,26.0,MACRO_NORDESTE,True,macro_regiao
27,4,12,20.416666666666668,MACRO_NORDESTE;MACRO_SEM_REGIAO_SAUDE,True,macro_regiao
28,2,6,107.33333333333333,MACRO_NORDESTE,True,macro_regiao
29,21,114,15.342105263157896,29,False,macro_regiao
31,63,231,7.805194805194805,31,False,macro_regiao
32,3,5,16.0,MACRO_SEM_REGIAO_SAUDE;MACRO_SUDESTE,True,macro_regiao
33,19,33,45.0,33,False,macro_regiao
35,22,61,26.688524590163933,35,False,macro_regiao
41,5,11,47.18181818181818,41,False,macro_regiao
42,12,20,11.05,42,False,macro_regiao
43,19,46,15.847826086956522,43,False,macro_regiao
50,6,14,13.5,50,False,macro_regiao
51,18,35,5.8,51,False,macro_regiao
52,21,43,8.930232558139535,52,False,macro_regiao
53,1,1,712.0,MACRO_CENTRO-OESTE,True,macro_regiao
