termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
const,0.8411292476900267,0.0913304113428306,0.6621249307648504,1.0201335646152032,3.269189805949057e-20,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
atracao_muni,0.0574587747548343,0.02040762626340722,0.01746056226860243,0.09745698724106618,0.004869320552452202,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,0.02434660276226101,minimal_5_desfechos
cod_curso_12,0.027544856186204593,0.034250984352278364,-0.039585839579305955,0.09467555195171515,0.42127786140138446,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_13,0.022338046825839186,0.04195533797567466,-0.05989290456568877,0.10456899821736715,0.5944320700295207,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_14,0.030799445634724667,0.02357941017658681,-0.015415349088082713,0.07701424035753204,0.191484263567259,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_15,0.007522594340608207,0.03718077556779792,-0.0653503866895425,0.0803955753707589,0.8396627846829482,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_16,0.03044506075363617,0.024361410678534926,-0.017302426788881768,0.0781925482961541,0.211400069696716,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_2,0.034394292755681094,0.026935726430727586,-0.018398760945968595,0.08718734645733078,0.20163671944328643,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_3,0.050258567554422234,0.024216920123236983,0.002794276296394463,0.09772285881245,0.03795417598647587,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_5,-0.23287955300338384,0.06697317574816065,-0.36414456540005014,-0.10161454060671757,0.0005066676846720483,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
cod_curso_9,0.021506159631504,0.033516796142823733,-0.04418555368560152,0.08719787294860952,0.5210983798204719,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_12,0.015861753681563884,0.12708711492729718,-0.23322441447504128,0.26494792183816906,0.9006739027466983,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_13,0.11678201300619033,0.08705574622617013,-0.05384411424436185,0.2874081402567425,0.17977035939746788,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_15,-0.03294827156060394,0.10718126462576559,-0.24301969004456142,0.1771231469233535,0.7585335968752409,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_17,0.12336120628774853,0.08635062753007257,-0.045882913713626586,0.29260532628912367,0.1531169035568609,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_21,0.1016798967748267,0.08762055549379136,-0.07005323629839755,0.27341302984805094,0.2458627456186958,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_22,0.04329863510905984,0.09687408411965365,-0.1465710808007649,0.23316835101888458,0.6549054730258109,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_23,0.08552659954493216,0.08705419218022392,-0.08509648183153512,0.25614968092139945,0.32587702498932325,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_24,0.06474491245987106,0.0987265257914238,-0.1287555224100843,0.25824534732982646,0.5119524459092981,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_29,0.04557042624845548,0.1018475509913015,-0.15404710560810214,0.2451879581050131,0.6545591152847399,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_31,0.08739408239938236,0.09053902240801752,-0.09005914071579689,0.2648473055145616,0.33441246848009654,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_33,0.06012211090779179,0.10552838866812851,-0.14670973022828485,0.2669539520438684,0.5688645545870815,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_35,0.08455659370783351,0.09613545924257974,-0.10386544404484103,0.27297863146050805,0.37909946817984785,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_41,0.0709669168015028,0.08834667239491267,-0.10218937924648505,0.24412321284949065,0.42181421149161213,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_42,0.17237775589210916,0.09054855340286327,-0.005094147629704615,0.34984965941392293,0.05694858317841057,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_43,0.16201418263994674,0.0876796895680395,-0.009834851089062957,0.33386321636895644,0.06463185488773872,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_50,0.16296800243479806,0.09009392188532832,-0.013612839686410416,0.33954884455600653,0.07047152988369731,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_51,0.08633604343130051,0.10599120082074519,-0.12140289285551227,0.2940749797181133,0.41532502016469686,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_52,0.07610805855244915,0.09949488748986274,-0.11889833757354659,0.27111445467844486,0.4443046442666424,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_MACRO_CENTRO-OESTE,0.07061253192041328,0.08589915289436041,-0.09774671405503266,0.23897177789585922,0.41105418296300444,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_MACRO_NORDESTE,0.0740901014110478,0.09146120419358204,-0.10517056479103676,0.25335076761313235,0.41789916776966085,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_MACRO_NORTE,0.13983889030158386,0.08602430059639914,-0.028765640662605924,0.3084434212657736,0.10404025082438027,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_MACRO_SEM_REGIAO_SAUDE,0.13180863118640831,0.08875763771291195,-0.042153142083753176,0.3057704044565698,0.13753326162596746,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
uf_fe_MACRO_SUDESTE,0.1284256915563361,0.08819952740780955,-0.04444220561642401,0.3012935887290962,0.14537011802450167,LPM_cobertura_6m_minimal,587,295,0.1374690931804149,0.9369676320272572,,
const,-0.03240243020407791,0.2127741528722987,-0.44943210667480304,0.38462724626664724,0.878961716573893,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
atracao_muni,0.032095271421534524,0.018128687083568424,-0.003436302349256057,0.0676268451923251,0.07665829099017274,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,0.13299223571431978,full_5_desfechos
cod_curso_12,-0.1010696523459596,0.03922807005140012,-0.17795525682971813,-0.024184047862201075,0.009981702539808006,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_13,-0.1202684820990179,0.05337387103257429,-0.22487934703834916,-0.015657617159686638,0.024238895764772922,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_14,0.048187391493509146,0.024237536106876244,0.0006826936500425526,0.09569208933697573,0.04679722832049372,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_15,-0.04381604050245857,0.03512618519123874,-0.11266209839157068,0.02503001738665355,0.2122546529271636,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_16,-0.11370003652043217,0.03418187371268191,-0.18069527792138512,-0.04670479511947921,0.0008799911539279659,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_2,0.02972346219331514,0.0247035161127087,-0.01869453967909883,0.07814146406572911,0.22889593417886078,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_3,-0.08303381716575582,0.03500864000696627,-0.1516494907271378,-0.014418143604373865,0.017701225243916926,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_5,-0.348484520752454,0.06781425761641,-0.48139802331893866,-0.21557101818596935,2.7648517632743555e-07,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
cod_curso_9,0.010913618860835665,0.02997767442625976,-0.047841543354900894,0.06966878107657222,0.715814532957751,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
estoque_baseline,-0.001529144021748153,0.0007476790721251109,-0.0029945680751076956,-6.371996838861024e-05,0.040836359304574944,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
estoque_por_10k,0.00170002010779121,0.0006246676929067376,0.0004756939273882776,0.0029243462881941426,0.0064990482884444865,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
estrato_capital,-0.0001280501884579656,0.06612751789918513,-0.12973560365788858,0.12947950328097266,0.9984549668916396,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
estrato_interior_proximo_polo,0.08534837416284567,0.038862972447003145,0.009178347834547046,0.1615184004911443,0.02808220813727567,LPM_cobertura_full,587,295,0.28531728472931406,0.9369676320272572,,
