termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
const,0.12121514508205665,0.09612524970932287,-0.06718688235313548,0.3096171725172488,0.20730432996864934,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
atracao_muni,0.1492908589494106,0.07744198372508516,-0.002492640043093325,0.3010743579419145,0.053882895612466196,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,0.06735361951558275,minimal_5_desfechos
cod_curso_12,-0.285642041986334,0.09854177730736272,-0.4787803764813313,-0.09250370749133671,0.0037472546184954335,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_13,-0.2563163835564587,0.1260996379876469,-0.5034671324757855,-0.009165634637131909,0.04208793271273386,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_14,0.08070205311545699,0.09600573499691516,-0.10746572978779335,0.26886983601870734,0.400574205206916,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_15,-0.16183694431883316,0.08495870182404859,-0.3283529400672458,0.004679051429579473,0.056794428341887866,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_16,-0.1434205005316952,0.16766928455187202,-0.4720462595669624,0.185205258503572,0.3923423042342077,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_2,-0.022524135921061953,0.09412815772022554,-0.20701193498380985,0.16196366314168595,0.8108789969514018,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_3,-0.28714028544607945,0.09914495307745533,-0.48146082272680546,-0.0928197481653534,0.003777519944471654,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_5,-0.26863062454383146,0.08440814333917245,-0.4340675454905039,-0.10319370359715901,0.0014599931135168074,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
cod_curso_9,0.05601986233318061,0.12027396327292796,-0.1797127739596514,0.2917524986260126,0.6413809833707163,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_12,-0.0725055600415405,0.09800244020134216,-0.2645868132332115,0.11957569315013046,0.45940058520937477,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_13,1.0819087734130963,1.0050494568964081,-0.8879519647854051,3.0517695116115977,0.2817156944812721,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_15,0.04153709813644183,0.1271534045847458,-0.20767899536131015,0.29075319163419383,0.7439181148747056,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_17,0.12054347569183788,0.18795867386857676,-0.24784875567248238,0.48893570705615813,0.5213085114144418,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_21,-0.03675828591749189,0.12221284073038007,-0.2762910521973666,0.20277448036238283,0.7635878282806642,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_22,0.07580412529104084,0.11859449228438378,-0.15663680835116467,0.3082450589332464,0.5227009175980265,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_23,0.069393831846251,0.14019765164573147,-0.20538851609647532,0.3441761797889773,0.6206202891346004,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_24,0.042132645671366875,0.1605362145091692,-0.2725125529810012,0.35677784432373494,0.7929749312900032,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_29,0.03510643461565145,0.11720883526858535,-0.1946186611806639,0.2648315304119668,0.7645430260913366,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_31,0.047296416141516674,0.10620345705463353,-0.16085853471921138,0.25545136700224474,0.656075639724611,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_33,0.014509359686085018,0.12150341143126965,-0.2236329507179558,0.25265167009012585,0.9049463836817263,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_35,0.3784653008498066,0.2011501901636565,-0.015781827354343192,0.7727124290539564,0.05990311232549965,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_41,0.8729144965002016,0.18251133695554786,0.5151988492970736,1.2306301437033296,1.7287352859898019e-06,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
uf_fe_42,0.214749421725057,0.17223440845583937,-0.12282381574694912,0.5523226591970631,0.21245473980058116,OLS_entradas_6m_minimal,587,295,0.950215258540602,0.33049403747870526,,
