termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao
const,0.2170023073851743,0.27969708647354136,-0.3311939086837519,0.7651985234541006,0.43783898737328875,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
atracao_muni,0.19583569762473316,0.14182809452521164,-0.08214225964062408,0.4738136548900904,0.16734162431578825,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_10,-0.058535306238788255,0.2625218810841071,-0.5730687383173451,0.45599812583976856,0.8235564763820884,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_11,-0.1403593807687244,0.24999700249533588,-0.6303445019025528,0.34962574036510397,0.5744947222686754,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_12,-1.0716624156458634,0.4644661749534026,-1.9819993905916122,-0.16132544070011456,0.02103814828609328,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_13,-0.4630133756843243,0.2973103654323723,-1.0457309841622164,0.11970423279356768,0.11938974242374532,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_14,0.34261503834634555,0.2495576032128525,-0.14650887601898266,0.8317389527116738,0.169786669826678,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_15,-0.056809386473078705,0.2130224251870039,-0.47432566773898444,0.360706894792827,0.7897135077309159,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_16,-0.41298327445982513,0.29726508281861563,-0.9956121306456283,0.16964558172597793,0.16474880907523526,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_2,0.423970063110326,0.32884121724650045,-0.22054687932512657,1.0684870055457785,0.19729900866701877,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_3,-0.539423073158505,0.275555487464342,-1.0795019043309937,0.0006557580139836539,0.050278820841918606,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_4,-0.48765372074578606,0.259307696599388,-0.995887466994626,0.020580025503053934,0.06002652682295005,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_5,-0.3735481303913667,0.253242624542337,-0.8698945538447463,0.12279829306201295,0.1401963445602352,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_6,0.8994219088630695,0.49256602295141,-0.06598975612982372,1.8648335738559627,0.06785137775190607,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_7,0.037482618291696745,0.245944511274566,-0.4445597660017579,0.5195250025851514,0.8788692932761879,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_8,0.3819548634340655,0.24729876662720796,-0.10274181257643794,0.8666515394445689,0.12246537345968422,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
cod_curso_9,0.03118179343913091,0.2648899796678161,-0.4879930265753358,0.5503566134535975,0.9062926750233825,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_12,0.32972545015404,0.3533170079518037,-0.36276316055694713,1.0222140608650272,0.3507020774757096,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_13,0.2188151984625853,0.5702548001169225,-0.8988636717776703,1.3364940687028408,0.7011898525499362,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_15,-0.5564822433287205,0.4328349548165439,-1.4048231660191681,0.29185867936172705,0.19855879832766132,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_17,0.13648770937000765,0.2872428001866472,-0.426497833814256,0.6994732525542713,0.6346694108625095,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_21,0.1576341187511943,0.31382443592765297,-0.4574504731356034,0.7727187106379919,0.6154562748440631,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_22,0.2407242689522906,0.31458093431151973,-0.3758430325212486,0.8572915704258298,0.44413932883376306,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_23,0.24950059932355237,0.3590991517905951,-0.454320805064896,0.9533220037120008,0.4871832512089418,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
uf_fe_24,0.8261235268787147,0.41514242340908697,0.012459328542226422,1.639787725215203,0.04659356138246562,OLS_delta_T0alt_202509_202603_minimal,1184,368,0.921668246926894,0.731418918918919,
