termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao
const,0.10918226179991933,0.2589479313062528,-0.39834635743148816,0.6167108810313268,0.6732893386965457,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
atracao_muni,0.3267203608669727,0.12524319240463955,0.08124821444505875,0.5721925072888867,0.009089018090456358,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_10,0.11294858772003037,0.20002217157233906,-0.2790876646712456,0.5049848401113064,0.5722912092822053,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_11,0.03721558986276216,0.18847634447723988,-0.33219125725039267,0.40662243697591705,0.8434715208945116,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_12,-0.7312919902733672,0.255337952901497,-1.231745181846486,-0.23083879870024848,0.00418306841407742,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_13,-0.4148033115123527,0.23341903399562286,-0.872296211449904,0.0426895884251986,0.0755557727824954,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_14,0.4463874408239017,0.22720212567715306,0.0010794572857386608,0.8916954243620647,0.04944722445513005,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_15,-0.05068326791722026,0.17228444178117786,-0.3883545689049166,0.28698803307047605,0.7686175647128819,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_16,-0.3532099781554059,0.23160443963751667,-0.8071463385045194,0.10072638219370772,0.12724487441245097,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_2,0.4488651756306318,0.2925396551353742,-0.12450201248446957,1.0222323637457331,0.12493772494875721,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_3,-0.4239828706238269,0.22102116168815225,-0.8571763873538093,0.009210646106155518,0.05507414284919515,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_4,-0.4228433415299692,0.20352623628041464,-0.8217474345485711,-0.02393924851136725,0.037747469421069726,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_5,-0.2739505744197631,0.19820816835566316,-0.6624314458385145,0.11453029699898831,0.16693005587532928,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_6,1.0048602145941317,0.4507751315688298,0.12135719159292091,1.8883632375953425,0.025801737893117734,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_7,0.15718696423223077,0.19303367266701435,-0.2211520819986112,0.5355260104630728,0.4154741642673494,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_8,0.3830373491600949,0.2226288882335634,-0.05330725369588235,0.8193819520160721,0.08533804754990691,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
cod_curso_9,0.12540949924699604,0.22602341563517317,-0.3175882550606707,0.5684072535546628,0.5789960320299765,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_12,0.318111141612216,0.343374278114512,-0.35489007670966766,0.9911123599340996,0.3542242098357855,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_13,0.6525074966023865,0.37896880738480293,-0.09025771713592412,1.3952727103406972,0.08510623084359561,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_15,-0.42636515063447433,0.35395326351250983,-1.1201007993294088,0.2673704980604602,0.22836534122823005,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_17,0.11887857688306837,0.2889153824798147,-0.44738516735698297,0.6851423211231197,0.6807315774275148,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_21,0.10946629689071025,0.3141375387351774,-0.5062319652222937,0.7251645590037141,0.7274901353632452,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_22,0.22196885859743537,0.3116622184566691,-0.38887786491949056,0.8328155821143612,0.47633492428526625,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_23,0.22597327101403458,0.3434013439258943,-0.4470809953233707,0.8990275373514398,0.5105097141343131,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_24,0.7649156834289432,0.41634578743958767,-0.05110706506761742,1.580938431925504,0.06617853162576616,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_29,0.6103151942378283,0.3761728707957458,-0.1269700844828725,1.3476004729585291,0.10471071646153218,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_31,0.21762360161546668,0.268355679651961,-0.30834386554914506,0.7435910687800784,0.4173931796603475,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_33,0.5367888198574335,0.488307846264581,-0.4202769721894668,1.4938546119043339,0.2716443721389967,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_35,-0.03393849127835702,0.448288493348451,-0.9125677929250445,0.8446908103683305,0.9396523588589946,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_41,1.7654112715404595,1.0592696903766081,-0.31071917151258677,3.8415417145935056,0.09558788189918219,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_42,0.6011856943875147,0.3893754962404295,-0.1619762547061383,1.3643476434811677,0.12259459908323292,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_43,0.14062012384245126,0.3502473764772937,-0.5458521197326857,0.8270923674175882,0.6880608605078491,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_50,0.2326678301025432,0.338212070638513,-0.430215647485659,0.8955513076907454,0.4914938836729994,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_51,0.13929366071605878,0.3602978710958601,-0.566877190338282,0.8454645117703995,0.6990472126084967,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
uf_fe_52,-0.14970310700228026,0.3009829736110407,-0.7396188952396896,0.440212681235129,0.6189206483749439,OLS_delta_winsorizado_p99_minimal,1184,368,0.11627463343870836,0.5912162162162162,
