termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao
const,-0.7555173764688544,1.4089195527292377,-3.516948956932442,2.005914203994733,0.5917934984826749,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
atracao_muni,0.4812744047211621,0.5452863170853027,-0.5874671380285192,1.5500159474708435,0.37744776869654817,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
atracao_x_capital,18.128367033489212,17.713981508290694,-16.590398745569054,52.84713281254748,0.3061220049041026,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
atracao_x_interior_proximo_polo,-0.6804518524295466,0.6978086685846864,-2.0481317109553787,0.6872280060962852,0.3294974242838611,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
atracao_x_metropolitano,0.04193121075788446,0.8615512940397999,-1.6466782963940014,1.7305407179097703,0.9611827379851771,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_12,-1.5965740648594462,0.651156183069495,-2.8728167319862266,-0.32033139773266606,0.014210158846949249,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_13,-1.2834233916029814,0.6966256613898125,-2.6487845986334086,0.08193781542744616,0.06542499776827548,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_14,2.8518065389917076,2.146642688817604,-1.3555358187670188,7.059148896750434,0.18401425591503795,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_15,-0.5891652651184449,0.49134689114171276,-1.5521874756719245,0.37385694543503456,0.23049602113550005,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_16,-3.651052069922826,2.698339411730636,-8.93970013497987,1.6375959951342165,0.17603208928343117,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_2,-0.2747961601404444,0.5377388478993428,-1.3287449351112182,0.7791526148303295,0.6093359401679737,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_3,-2.0904029031494558,1.4954505335984152,-5.021432089663556,0.8406262833646441,0.16216065176531258,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_5,-1.4787177100572693,0.8241630255407686,-3.09404755750674,0.1366121373922018,0.07278039847357472,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
cod_curso_9,-0.398631510945865,0.6345955274905731,-1.642415889577586,0.8451528676858561,0.5298950182771716,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
estrato_capital,0.14194036593617237,1.4593380151289697,-2.7183095849867764,3.0021903168591213,0.9225171179630564,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
estrato_interior_proximo_polo,0.825340234274226,0.44356371849139464,-0.044028678817570666,1.6947091473660225,0.06278616419112777,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
estrato_metropolitano,0.4732109829718959,0.707748240416371,-0.9139500783657867,1.8603720443095786,0.5037411978323456,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
ivs_2010,-2.1510911608919603,4.732788341980776,-11.427185857625318,7.1250035358413975,0.6494630836301276,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_12,0.16421601937630928,1.6443510681772036,-3.058652852190977,3.387084890943595,0.9204501032190434,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_13,-1.1366344388115965,3.5887488722301764,-8.170452977941478,5.897184100318285,0.7514548249550513,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_15,1.0611035640918505,1.8060326011477872,-2.4786552890630045,4.600862417246706,0.5568458639676683,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_17,1.9903724360437365,1.8198336301537452,-1.576435936912389,5.5571808089998616,0.2740816575525741,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_21,0.79709005785708,1.6894591432222068,-2.5141890162103424,4.108369131924502,0.6370681844239434,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_22,1.513812998332333,1.6001102609898459,-1.6223454845007512,4.649971481165418,0.3441139410342632,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_23,1.9615189750492315,1.968898269124557,-1.8974507216581507,5.820488671756614,0.3191276857802855,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_24,1.6990787555476312,1.7325556426905206,-1.6966679053374358,5.094825416432698,0.32675168344596595,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_29,2.1289081368370093,1.8350355314062057,-1.467695415070473,5.725511688744492,0.245989588967642,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_31,1.2835617494889346,1.3274433131688483,-1.318179335840532,3.8853028348184013,0.3335726307865813,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_33,3.3076613369304164,2.2472183226343483,-1.096805640831418,7.712128314692251,0.14105020464433723,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_35,3.3612879184111932,2.1058530597785694,-0.766108235488276,7.4886840723106625,0.11045206884541435,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_41,-9.706138282969938,14.100668545518674,-37.34294079012333,17.930664224183452,0.49123494322297423,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_42,2.153521994350954,2.07149149806697,-1.9065267361412301,6.213570724843138,0.2985259041488899,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_43,2.359370034367197,1.8432454885841976,-1.2533247379237658,5.972064806658159,0.2005421195411078,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_50,2.177909698036189,1.8913206005016814,-1.5290105621657744,5.884829958238152,0.2495148503838167,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_51,1.1118319971780108,1.306838610397391,-1.449524612807247,3.6731886071632687,0.39489163982027264,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_52,1.2409224258361489,1.4499178334359013,-1.6008643082405625,4.08270915991286,0.3920768444589434,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
uf_fe_RESTO,5.8169015785612155,4.265221562812576,-2.542779070635077,14.176582227757507,0.17263108043640885,OLS_delta_heterogeneidade_atracao_x_estrato,587,295,0.13014073840832385,1.1856899488926746,
