modelo,espec,variante_uf_fe,primaria,termo,coef,se_cluster,p_valor,n,n_clusters,n_niveis_uf_fe,n_niveis_singleton_uf_fe,niveis_singleton_uf_fe,ufs_colapsadas,nota
delta_estoque_6m_minimal,minimal,balde_unico,False,atracao_muni,1.2948856220641447,0.774905514683991,0.09471696052854697,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
estoque_6m_minimal,minimal,balde_unico,False,atracao_muni,7.132261147182273,3.640162976552343,0.05007477561505033,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
cobertura_6m_minimal,minimal,balde_unico,False,atracao_muni,0.05411049276485366,0.020034831153095057,0.006916855326986625,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
entradas_6m_minimal,minimal,balde_unico,False,atracao_muni,0.3901832363497246,0.24293021620017272,0.10824016987419273,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
presentes_baseline_6m_minimal,minimal,balde_unico,False,atracao_muni,0.03792257443044024,0.04384429921171234,0.38707314530590076,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
delta_estoque_6m_full,full,balde_unico,False,atracao_muni,0.09160797720135228,0.34562233375915136,0.7909692110718918,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
estoque_6m_full,full,balde_unico,False,atracao_muni,0.09160797720135427,0.3456223337591517,0.7909692110718874,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
cobertura_6m_full,full,balde_unico,False,atracao_muni,0.029288582337475243,0.017910203318994615,0.10198585946926084,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
entradas_6m_full,full,balde_unico,False,atracao_muni,0.01584454697014477,0.11662653719109116,0.8919342241319672,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
presentes_baseline_6m_full,full,balde_unico,False,atracao_muni,0.0012517645892254799,0.03986678883551234,0.9749515929618436,587,295,20,1,41,14;16;25;26;27;28;32;53,implementacao anterior a A-1: UFs pequenas num unico nivel RESTO
