escala,outcome,n_obs,n_unidades,n_clusters,n_parametros_fe_absorvidos,n_tratadas,n_controle,mar2026_beta,mar2026_se_gl_fe,mar2026_p_gl_fe,mar2026_ci_low_gl_fe,mar2026_ci_high_gl_fe,pre_F_gl_fe,pre_p_gl_fe,n_coef_pre,pre_F_posto_covariancia,pre_F_confiavel,teste,tratamento,cod_curso,pre_rejeita_5pct,q_fdr_bh_pre,pre_rejeita_5pct_q,familia_fdr_pre,cursos_incluidos,cursos_excluidos
nivel,especialistas_mst,3562,137,137,681,41,96,-0.9656056299718081,0.7989845719669016,0.22893632570269803,-2.5456461805692823,0.6144349206256661,1.338277451222164,0.20401271221048795,12,12,True,pretendencia_curso_01,atracao_muni,1,False,0.3400211870174799,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,3562,137,137,681,41,96,-0.012940588950444164,0.05914055617634345,0.8271255040981486,-0.12989463314866123,0.10401345524777292,1.1474031771439461,0.3276582589717409,12,12,True,pretendencia_curso_01,atracao_muni,1,False,0.5460970982862349,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,1638,63,63,503,26,37,-0.9763377103222513,0.8354067157676445,0.24699958002919814,-2.6462919402801726,0.6936165196356698,4.714963215520105,2.0761524300911805e-05,12,12,True,pretendencia_curso_02,atracao_muni,2,True,0.00010380762150455903,True,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,1638,63,63,503,26,37,-0.08071785195767535,0.0535229537565175,0.13660859390353738,-0.1877087120244485,0.026273008109097815,2.0114414608554925,0.038010440986620916,12,12,True,pretendencia_curso_02,atracao_muni,2,True,0.1900522049331046,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,650,25,25,439,13,12,0.08888888888888982,0.7086491215294275,0.9012245720219758,-1.3736910137346587,1.5514687915124385,0.47741235279904753,0.7519364066294753,12,4,False,pretendencia_curso_03,atracao_muni,3,False,0.7887824896449673,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,650,25,25,439,13,12,0.003137871303652052,0.1163824981291465,0.9787132130722641,-0.23706379918376966,0.24333954179107378,0.47736894714843225,0.7519671504985015,12,4,False,pretendencia_curso_03,atracao_muni,3,False,0.7887434112037803,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,1222,47,47,513,14,33,0.9155722326454021,0.46105521944562144,0.05303213429357065,-0.012483789435520865,1.8436282547263252,1.9302759537725354,0.06496725525025229,12,10,False,pretendencia_curso_05,atracao_muni,5,False,0.16241813812563072,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,1222,47,47,513,14,33,0.09795926011838005,0.07200862232538693,0.18033827146020978,-0.04698657884464266,0.24290509908140276,1.4278063031156303,0.1985498681976819,12,10,False,pretendencia_curso_05,atracao_muni,5,False,0.4463593111828912,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,1950,75,75,567,18,57,1.1925055972347653,0.6052520479471155,0.05254997083528041,-0.013485433847197248,2.398496628316728,0.7712199264428504,0.6775686120971389,12,12,True,pretendencia_curso_09,atracao_muni,9,False,0.7887824896449673,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,1950,75,75,567,18,57,0.17981305536138026,0.06643863450178748,0.008438449088828393,0.04743118635614016,0.31219492436662033,0.941323160202218,0.5115289382284798,12,12,True,pretendencia_curso_09,atracao_muni,9,False,0.6394111727855998,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,988,38,38,582,12,26,1.1800000000000017,1.0703685312512303,0.2773967449932883,-0.9887726506847787,3.348772650684782,1.7686765693055564,0.11509423934421406,12,8,False,pretendencia_curso_12,atracao_muni,12,False,0.23018847868842812,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,988,38,38,582,12,26,0.08462122587489729,0.13879660410998423,0.5458013498952164,-0.19660740726678788,0.36584985901658246,1.5563190074995614,0.1717900915433733,12,8,False,pretendencia_curso_12,atracao_muni,12,False,0.4463593111828912,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,572,22,22,384,10,12,-0.14285714285714346,0.8137652692576495,0.8623285827509163,-1.8351746631638992,1.5494603774496123,0.3510698590959822,0.7887824896449673,12,3,False,pretendencia_curso_13,atracao_muni,13,False,0.7887824896449673,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,572,22,22,384,10,12,0.07836656453554833,0.17482082347739644,0.6585506567354567,-0.285193240314739,0.44192636938583574,0.3511251490169314,0.7887434112037803,12,3,False,pretendencia_curso_13,atracao_muni,13,False,0.7887434112037803,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,2600,100,100,566,45,55,2.3541958999759607,0.9869079927079438,0.018962264389885918,0.3959563311887342,4.312435468763187,1.921793298081954,0.04044144622335912,12,12,True,pretendencia_curso_14,atracao_muni,14,True,0.1348048207445304,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,2600,100,100,566,45,55,0.12532422782942138,0.049634938176798406,0.013160585780576084,0.026837742108074145,0.2238107135507686,1.3131318030038963,0.2231796555914456,12,12,True,pretendencia_curso_14,atracao_muni,14,False,0.4463593111828912,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,1144,44,44,484,25,19,0.9687732342007411,0.3396555600271543,0.00664745632354196,0.2837925158696212,1.653753952531861,0.84402580314066,0.5986804826480091,12,11,False,pretendencia_curso_15,atracao_muni,15,False,0.7887824896449673,False,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,1144,44,44,484,25,19,0.18474130975934844,0.09140665736854689,0.04952397522672256,0.0004022168867094389,0.36908040263198744,1.001393185549751,0.4609989615074827,12,11,False,pretendencia_curso_15,atracao_muni,15,False,0.6394111727855998,False,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,936,36,36,450,11,25,0.9262613195342839,1.115141238255368,0.4118174057374422,-1.3375957493668433,3.190118388435411,7.225767572209546,4.679125776563973e-06,12,10,False,pretendencia_curso_16,atracao_muni,16,True,4.679125776563973e-05,True,pretendencia_por_curso_nivel_10_cursos,,
proporcional,log_estoque_mst,936,36,36,450,11,25,0.054619734636900036,0.07916673332517503,0.4947860046813682,-0.10609727834021843,0.2153367476140185,4.565814553510296,0.0003646645593400793,12,10,False,pretendencia_curso_16,atracao_muni,16,True,0.003646645593400793,True,pretendencia_por_curso_proporcional_10_cursos,,
nivel,especialistas_mst,15262,587,295,1547,215,372,0.5001997255486577,0.2468805893129593,0.043659408261306376,0.014322508369149944,0.9860769427281654,0.9263385313698218,0.5207670276177722,12,12,True,amostra_confirmatoria_completa_referencia,atracao_muni,-1,False,,,,todos_10,
proporcional,log_estoque_mst,15262,587,295,1547,215,372,0.06840172350321641,0.019132471045788437,0.00040901245058380653,0.0307477636865901,0.10605568331984272,0.5690390014031014,0.8664358048505107,12,12,True,amostra_confirmatoria_completa_referencia,atracao_muni,-1,False,,,,todos_10,
nivel,especialistas_mst,12688,488,269,1370,178,310,0.5786291494722688,0.30327058299600845,0.057464561390481506,-0.018466706793463517,1.175725005738001,1.08702145547576,0.3710487638133608,12,12,True,sensibilidade_excluindo_cursos_pre_p_lt_0_05_proporcional,atracao_muni,-1,False,,,,1;3;5;9;12;13;14;15,2;16
proporcional,log_estoque_mst,12688,488,269,1370,178,310,0.0809757367081551,0.02364316045604934,0.0007113914340058309,0.03442577792920327,0.12752569548710693,0.578753087054499,0.8586904335809437,12,12,True,sensibilidade_excluindo_cursos_pre_p_lt_0_05_proporcional,atracao_muni,-1,False,,,,1;3;5;9;12;13;14;15,2;16
