modelo,espec,variante_uf_fe,singletons,primaria,termo,coef,se_cluster,p_valor,r2,n,n_clusters,n_niveis_uf_fe,n_celulas_removidas,niveis_singleton_uf_fe,niveis_singleton_cod_curso,peso_singleton_na_soma_de_quadrados,nota
delta_estoque_6m_minimal,minimal,macro_regiao,mantidos,True,atracao_muni,0.506183053238523,0.2505699008766627,0.04337020300948087,0.9326166097959141,587,295,24,0,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.9218864966240841,"especificacao primaria de A-1: niveis singleton mantidos, n nominal"
estoque_6m_minimal,minimal,macro_regiao,mantidos,True,atracao_muni,3.5970238307415348,1.5322569870990015,0.018898199379431522,0.8761431077475491,587,295,24,0,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.8417981628752597,"especificacao primaria de A-1: niveis singleton mantidos, n nominal"
cobertura_6m_minimal,minimal,macro_regiao,mantidos,True,atracao_muni,0.0574587747548343,0.02040762626340722,0.004869320552452202,0.1374690931804149,587,295,24,0,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.0003438129162149611,"especificacao primaria de A-1: niveis singleton mantidos, n nominal"
entradas_6m_minimal,minimal,macro_regiao,mantidos,True,atracao_muni,0.1492908589494106,0.07744198372508516,0.053882895612466196,0.950215258540602,587,295,24,0,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.9422214154303121,"especificacao primaria de A-1: niveis singleton mantidos, n nominal"
presentes_baseline_6m_minimal,minimal,macro_regiao,mantidos,True,atracao_muni,0.029452931891426892,0.03944604280958332,0.45526653133294637,0.27689360851934885,587,295,24,0,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.20831988092206258,"especificacao primaria de A-1: niveis singleton mantidos, n nominal"
delta_estoque_6m_minimal,minimal,macro_regiao,removidos,False,atracao_muni,0.5061830532385124,0.24993205438166952,0.042838349116038656,0.11911864950040196,584,292,21,3,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.9218864966240841,"sensibilidade A-1b: niveis singleton removidos ate o ponto fixo (convencao reghdfe/fixest), n efetivo"
estoque_6m_minimal,minimal,macro_regiao,removidos,False,atracao_muni,3.5970238307414895,1.5283564996692176,0.018596403157516345,0.20856337711620143,584,292,21,3,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.8417981628752597,"sensibilidade A-1b: niveis singleton removidos ate o ponto fixo (convencao reghdfe/fixest), n efetivo"
cobertura_6m_minimal,minimal,macro_regiao,removidos,False,atracao_muni,0.05745877475483408,0.020355676955698322,0.004761523304891025,0.13717091750122,584,292,21,3,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.0003438129162149611,"sensibilidade A-1b: niveis singleton removidos ate o ponto fixo (convencao reghdfe/fixest), n efetivo"
entradas_6m_minimal,minimal,macro_regiao,removidos,False,atracao_muni,0.1492908589494074,0.07724484872318906,0.05327358037588338,0.11255682732684902,584,292,21,3,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.9422214154303121,"sensibilidade A-1b: niveis singleton removidos ate o ponto fixo (convencao reghdfe/fixest), n efetivo"
presentes_baseline_6m_minimal,minimal,macro_regiao,removidos,False,atracao_muni,0.029452931891426514,0.03934562963122688,0.45411681919501423,0.08624652905022767,584,292,21,3,41;MACRO_CENTRO-OESTE;MACRO_SUDESTE,,0.20831988092206258,"sensibilidade A-1b: niveis singleton removidos ate o ponto fixo (convencao reghdfe/fixest), n efetivo"
