ciclo_chamada,amostra,desfecho,n_pares,media_ultimo_selecionado,media_primeiro_nao_selecionado,diferenca,erro_padrao_pareado,ic95_inferior,ic95_superior,p_valor_t_pareado,classificacao_inferencial
2025_C1_CH1,todos_pares_adjacentes,any_selection,136,1.0,0.29411764705882354,0.7058823529411765,0.0392156862745098,0.6283257930494411,0.7834389128329119,1.0850874859287211e-37,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1,todos_pares_adjacentes,any_confirmation,136,0.8970588235294118,0.2647058823529412,0.6323529411764706,0.046452383296008364,0.5404844214725971,0.724221460880344,4.206100192890307e-27,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1,todos_pares_adjacentes,homologated,136,0.5955882352941176,0.1323529411764706,0.4632352941176471,0.04656862745098038,0.3711368792462113,0.5553337089890829,7.948857422673233e-18,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1,todos_pares_adjacentes,active_snapshot,136,0.49264705882352944,0.22058823529411764,0.27205882352941174,0.05854714481586583,0.15627058737266575,0.38784705968615774,7.91792283078025e-06,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1,mesmo_escore_publicado,homologated,53,0.6226415094339622,0.09433962264150944,0.5283018867924528,0.06922635714201347,0.38938903840737216,0.6672147351775335,4.883835213845839e-10,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1,mesmo_escore_publicado,active_snapshot,53,0.49056603773584906,0.22641509433962265,0.2641509433962264,0.08995621978311415,0.08364058237301342,0.4446613044194394,0.004935961307571142,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,todos_pares_adjacentes,any_selection,57,1.0,0.0,1.0,0.0,1.0,1.0,0.0,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,todos_pares_adjacentes,any_confirmation,57,1.0,0.0,1.0,0.0,1.0,1.0,0.0,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,todos_pares_adjacentes,homologated,57,0.7719298245614035,0.0,0.7719298245614035,0.05606981784761176,0.6596084823506845,0.8842511667721225,1.2759993472312469e-19,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,todos_pares_adjacentes,active_snapshot,57,0.5789473684210527,0.017543859649122806,0.5614035087719298,0.07087682076380589,0.41942017539539156,0.703386842148468,1.0436853599666944e-10,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,mesmo_escore_publicado,homologated,28,0.8571428571428571,0.0,0.8571428571428571,0.06734350297014736,0.718965402662028,0.9953203116236862,6.374176133655448e-13,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH2,mesmo_escore_publicado,active_snapshot,28,0.6428571428571429,0.0,0.6428571428571429,0.09221388919541469,0.4536498709626594,0.8320644147516264,1.712252712277558e-07,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1_E_CH2,todos_pares_adjacentes,homologated,193,0.6476683937823834,0.09326424870466321,0.5544041450777202,0.03806027784289985,0.47933418660188837,0.6294741035535519,7.297254044113418e-33,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1_E_CH2,todos_pares_adjacentes,active_snapshot,193,0.5181347150259067,0.16062176165803108,0.35751295336787564,0.04713614110411433,0.2645417940399644,0.45048411269578686,1.3954604130533536e-12,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1_E_CH2,mesmo_escore_publicado,homologated,81,0.7037037037037037,0.06172839506172839,0.6419753086419753,0.05360072431133928,0.535306467837235,0.7486441494467155,1.580853189416661e-19,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
2025_C1_CH1_E_CH2,mesmo_escore_publicado,active_snapshot,81,0.5432098765432098,0.14814814814814814,0.3950617283950617,0.06956436833076941,0.2566242235573263,0.5334992332327971,2.1057699941010028e-07,DESCONTINUIDADE_PRELIMINAR_NAO_CAUSAL
