ciclo_chamada,amostra,desfecho,n_pares,media_acima,media_abaixo,diferenca,erro_padrao_pareado,ic95_convencional_inferior,ic95_convencional_superior,discordantes_favoraveis,discordantes_contrarios,p_exato_pareado_bicaudal,classificacao_inferencial
2025_C1_CH1,gap_1_ac,homologacao_mesma_celula,30,0.6,0.0,0.6,0.09097176522946841,0.41394184915555393,0.786058150844446,18,0,7.62939453125e-06,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1,gap_1_ac,ativo_mesma_celula_snapshot,30,0.43333333333333335,0.1,0.3333333333333333,0.11072730647165328,0.10687056394399563,0.559796102722671,12,2,0.012939453125,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1,gap_1_ac,homologacao_qualquer_local,30,0.6,0.06666666666666667,0.5333333333333333,0.10431311544403153,0.3199890575639893,0.7466776091026773,17,1,0.00014495849609375,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1,gap_1_ac,ativo_qualquer_local_snapshot,30,0.5333333333333333,0.2,0.3333333333333333,0.13840913308956662,0.0502548715966612,0.6164117950700054,15,5,0.04138946533203125,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH2,gap_1_ac,homologacao_mesma_celula,6,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666669,0.40490302739394757,1.2617636392727192,5,0,0.0625,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH2,gap_1_ac,ativo_mesma_celula_snapshot,6,0.3333333333333333,0.0,0.3333333333333333,0.210818510677892,-0.20859290083115628,0.875259567497823,2,0,0.5,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH2,gap_1_ac,homologacao_qualquer_local,6,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666669,0.40490302739394757,1.2617636392727192,5,0,0.0625,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH2,gap_1_ac,ativo_qualquer_local_snapshot,6,0.3333333333333333,0.0,0.3333333333333333,0.210818510677892,-0.20859290083115628,0.875259567497823,2,0,0.5,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1_E_CH2,gap_1_ac,homologacao_mesma_celula,36,0.6388888888888888,0.0,0.6388888888888888,0.08118935126220327,0.474065743201988,0.8037120345757897,23,0,2.384185791015625e-07,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1_E_CH2,gap_1_ac,ativo_mesma_celula_snapshot,36,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.09759000729485333,0.13521508580604277,0.5314515808606238,14,2,0.004180908203125,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1_E_CH2,gap_1_ac,homologacao_qualquer_local,36,0.6388888888888888,0.05555555555555555,0.5833333333333334,0.0923674511489087,0.3958174384436576,0.7708492282230092,22,1,5.7220458984375e-06,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2025_C1_CH1_E_CH2,gap_1_ac,ativo_qualquer_local_snapshot,36,0.5,0.16666666666666666,0.3333333333333333,0.11952286093343935,0.09068902574519491,0.5759776409214717,17,5,0.01690053939819336,EFEITO_LOCAL_CONDICIONAL_A_RANDOMIZACAO_LOCAL
2026_C2_CH2,gap_1_ac_replicacao,ativo_mesma_celula_snapshot,11,0.36363636363636365,0.0,0.36363636363636365,0.15212000482437738,0.024691870722828912,0.7025808565498983,4,0,0.125,REPLICACAO_DIRECIONAL_IMPRECISA
2026_C2_CH2,gap_1_ac_replicacao,ativo_qualquer_local_snapshot,11,0.36363636363636365,0.0,0.36363636363636365,0.15212000482437738,0.024691870722828912,0.7025808565498983,4,0,0.125,REPLICACAO_DIRECIONAL_IMPRECISA
