dimensao_excluida,grupo_excluido,desfecho,n_pares_restantes,diferenca
course_code,01,homologacao_mesma_celula,33,0.6363636363636364
course_code,02,homologacao_mesma_celula,31,0.7096774193548387
course_code,03,homologacao_mesma_celula,35,0.6285714285714286
course_code,04,homologacao_mesma_celula,35,0.6285714285714286
course_code,05,homologacao_mesma_celula,34,0.6176470588235294
course_code,06,homologacao_mesma_celula,31,0.5806451612903226
course_code,08,homologacao_mesma_celula,31,0.6451612903225806
course_code,11,homologacao_mesma_celula,35,0.6571428571428571
course_code,12,homologacao_mesma_celula,35,0.6285714285714286
course_code,14,homologacao_mesma_celula,32,0.65625
course_code,15,homologacao_mesma_celula,30,0.6333333333333333
course_code,16,homologacao_mesma_celula,34,0.6470588235294118
course_code,01,ativo_mesma_celula_snapshot,33,0.36363636363636365
course_code,02,ativo_mesma_celula_snapshot,31,0.3870967741935484
course_code,03,ativo_mesma_celula_snapshot,35,0.3142857142857143
course_code,04,ativo_mesma_celula_snapshot,35,0.34285714285714286
course_code,05,ativo_mesma_celula_snapshot,34,0.29411764705882354
course_code,06,ativo_mesma_celula_snapshot,31,0.2903225806451613
course_code,08,ativo_mesma_celula_snapshot,31,0.3225806451612903
course_code,11,ativo_mesma_celula_snapshot,35,0.34285714285714286
course_code,12,ativo_mesma_celula_snapshot,35,0.3142857142857143
course_code,14,ativo_mesma_celula_snapshot,32,0.375
course_code,15,ativo_mesma_celula_snapshot,30,0.3333333333333333
course_code,16,ativo_mesma_celula_snapshot,34,0.3235294117647059
uf,BA,homologacao_mesma_celula,33,0.6060606060606061
uf,CE,homologacao_mesma_celula,32,0.6875
uf,GO,homologacao_mesma_celula,35,0.6285714285714286
uf,MA,homologacao_mesma_celula,34,0.6470588235294118
uf,MG,homologacao_mesma_celula,33,0.6363636363636364
uf,PA,homologacao_mesma_celula,33,0.6666666666666666
uf,PI,homologacao_mesma_celula,25,0.6
uf,RJ,homologacao_mesma_celula,34,0.6764705882352942
uf,RN,homologacao_mesma_celula,34,0.6176470588235294
uf,RO,homologacao_mesma_celula,35,0.6285714285714286
uf,SP,homologacao_mesma_celula,32,0.625
uf,BA,ativo_mesma_celula_snapshot,33,0.2727272727272727
uf,CE,ativo_mesma_celula_snapshot,32,0.375
uf,GO,ativo_mesma_celula_snapshot,35,0.34285714285714286
uf,MA,ativo_mesma_celula_snapshot,34,0.35294117647058826
uf,MG,ativo_mesma_celula_snapshot,33,0.30303030303030304
uf,PA,ativo_mesma_celula_snapshot,33,0.36363636363636365
uf,PI,ativo_mesma_celula_snapshot,25,0.32
uf,RJ,ativo_mesma_celula_snapshot,34,0.35294117647058826
uf,RN,ativo_mesma_celula_snapshot,34,0.3235294117647059
uf,RO,ativo_mesma_celula_snapshot,35,0.34285714285714286
uf,SP,ativo_mesma_celula_snapshot,32,0.3125
