origem,ciclo_chamada,amostra,desfecho,n_pares,diferenca,discordantes_favoraveis,discordantes_contrarios,ic95_convencional_inferior,ic95_convencional_superior,ic95_convencional_fora_do_espaco,ic95_exato_inferior,ic95_exato_superior,p_exato_pareado_bicaudal
A8_tabela_02,2025_C1_CH1,gap_1_ac,homologacao_mesma_celula,30,0.6,18,0,0.4139418491555539,0.786058150844446,False,0.37763763823457724,0.6,7.62939453125e-06
A8_tabela_02,2025_C1_CH1,gap_1_ac,ativo_mesma_celula_snapshot,30,0.3333333333333333,12,2,0.1068705639439956,0.559796102722671,False,0.06707944981761438,0.4500584522156879,0.012939453125
A8_tabela_02,2025_C1_CH1,gap_1_ac,homologacao_qualquer_local,30,0.5333333333333333,17,1,0.3199890575639893,0.7466776091026773,False,0.27246768039195773,0.5983133325991568,0.0001449584960937
A8_tabela_02,2025_C1_CH1,gap_1_ac,ativo_qualquer_local_snapshot,30,0.3333333333333333,15,5,0.0502548715966612,0.6164117950700054,False,0.011938837722723267,0.5512380411980871,0.0413894653320312
A8_tabela_02,2025_C1_CH2,gap_1_ac,homologacao_mesma_celula,6,0.8333333333333334,5,0,0.4049030273939475,1.2617636392727192,True,-0.036372916841635836,0.8333333333333334,0.0625
A8_tabela_02,2025_C1_CH2,gap_1_ac,ativo_mesma_celula_snapshot,6,0.3333333333333333,2,0,-0.2085929008311562,0.875259567497823,False,-0.22792407799438733,0.3333333333333333,0.5
A8_tabela_02,2025_C1_CH2,gap_1_ac,homologacao_qualquer_local,6,0.8333333333333334,5,0,0.4049030273939475,1.2617636392727192,True,-0.036372916841635836,0.8333333333333334,0.0625
A8_tabela_02,2025_C1_CH2,gap_1_ac,ativo_qualquer_local_snapshot,6,0.3333333333333333,2,0,-0.2085929008311562,0.875259567497823,False,-0.22792407799438733,0.3333333333333333,0.5
A8_tabela_02,2025_C1_CH1_E_CH2,gap_1_ac,homologacao_mesma_celula,36,0.6388888888888888,23,0,0.474065743201988,0.8037120345757897,False,0.4495412241638799,0.6388888888888888,2.384185791015625e-07
A8_tabela_02,2025_C1_CH1_E_CH2,gap_1_ac,ativo_mesma_celula_snapshot,36,0.3333333333333333,14,2,0.1352150858060427,0.5314515808606238,False,0.10357667835621015,0.4306545743862987,0.004180908203125
A8_tabela_02,2025_C1_CH1_E_CH2,gap_1_ac,homologacao_qualquer_local,36,0.5833333333333334,22,1,0.3958174384436576,0.7708492282230092,False,0.35843377936499715,0.6374831178611025,5.7220458984375e-06
A8_tabela_02,2025_C1_CH1_E_CH2,gap_1_ac,ativo_qualquer_local_snapshot,36,0.3333333333333333,17,5,0.0906890257451949,0.5759776409214717,False,0.056584459968517666,0.5155256817921314,0.0169005393981933
A8_tabela_02,2026_C2_CH2,gap_1_ac_replicacao,ativo_mesma_celula_snapshot,11,0.3636363636363636,4,0,0.0246918707228289,0.7025808565498983,False,-0.0744470077210725,0.36363636363636365,0.125
A8_tabela_02,2026_C2_CH2,gap_1_ac_replicacao,ativo_qualquer_local_snapshot,11,0.3636363636363636,4,0,0.0246918707228289,0.7025808565498983,False,-0.0744470077210725,0.36363636363636365,0.125
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_abaixo_gap_1_ac,homologacao_mesma_celula,30,-0.0333333333333333,0,1,-0.1015076547377567,0.0348409880710901,False,-0.03333333333333333,0.03166666666666666,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_abaixo_gap_1_ac,ativo_mesma_celula_snapshot,30,0.0,2,2,-0.1386795576853637,0.1386795576853637,False,-0.11531040360305521,0.11531040360305521,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_abaixo_gap_1_ac,homologacao_qualquer_local,30,0.0666666666666666,4,2,-0.1012826181062033,0.2346159514395366,False,-0.11088876179859515,0.18269125268290334,0.6875
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_abaixo_gap_1_ac,ativo_qualquer_local_snapshot,30,-0.0333333333333333,2,3,-0.1878640999099661,0.1211974332432994,False,-0.14908501649122768,0.11778906678844225,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_acima_gap_1_ac,homologacao_mesma_celula,5,-0.2,0,1,-0.7552890210395589,0.3552890210395588,False,-0.2,0.19,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_acima_gap_1_ac,ativo_mesma_celula_snapshot,5,-0.2,0,1,-0.7552890210395589,0.3552890210395588,False,-0.2,0.19,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_acima_gap_1_ac,homologacao_qualquer_local,5,-0.2,0,1,-0.7552890210395589,0.3552890210395588,False,-0.2,0.19,1.0
A8_tabela_03,2025_C1_CH1_E_CH2,placebo_acima_gap_1_ac,ativo_qualquer_local_snapshot,5,-0.2,0,1,-0.7552890210395589,0.3552890210395588,False,-0.2,0.19,1.0
